player,team,season
Jose Ramos,River Plate,1941-1942
Bruno Rodolfi,River Plate,1941-1942
Norberto Yacono,River Plate,1941-1942
Angel Labruna,River Plate,1941-1942
Jorge Alcalde,River Plate,1941-1942
Alfredo Di Stefano,River Plate,1941-1942
Felix Loustau,River Plate,1941-1942
Jose Moreno,River Plate,1941-1942
Juan Carlos Munoz,River Plate,1941-1942
Bruno Pesaola,River Plate,1941-1942
Renato Cesarini,River Plate,1941-1942
Jose Ramos,River Plate,1942-1943
Bruno Rodolfi,River Plate,1942-1943
Norberto Yacono,River Plate,1942-1943
Angel Labruna,River Plate,1942-1943
Alfredo Di Stefano,River Plate,1942-1943
Felix Loustau,River Plate,1942-1943
Jose Moreno,River Plate,1942-1943
Juan Carlos Munoz,River Plate,1942-1943
Bruno Pesaola,River Plate,1942-1943
Jose Ramos,River Plate,1943-1944
Bruno Rodolfi,River Plate,1943-1944
Norberto Yacono,River Plate,1943-1944
Angel Labruna,River Plate,1943-1944
Eusebio Videla,River Plate,1943-1944
Alfredo Di Stefano,River Plate,1943-1944
Felix Loustau,River Plate,1943-1944
Jose Moreno,River Plate,1943-1944
Juan Carlos Munoz,River Plate,1943-1944
Bruno Pesaola,River Plate,1943-1944
Amadeo Carrizo,River Plate,1944-1945
Eduardo Rodriguez,River Plate,1944-1945
Jose Ramos,River Plate,1944-1945
Bruno Rodolfi,River Plate,1944-1945
Norberto Yacono,River Plate,1944-1945
Manuel Giudice,River Plate,1944-1945
Angel Labruna,River Plate,1944-1945
Alfredo Di Stefano,River Plate,1944-1945
Felix Loustau,River Plate,1944-1945
Juan Carlos Munoz,River Plate,1944-1945
Bruno Pesaola,River Plate,1944-1945
Sebastian Gualco,Huracán,1945-1946
Jorge Alberti,Huracán,1945-1946
Juan Gimenez,Huracán,1945-1946
Eusebio Videla,Huracán,1945-1946
Alfredo Di Stefano,Huracán,1945-1946
Norberto Mendez,Huracán,1945-1946
Juan Carlos Salvini,Huracán,1945-1946
Guillermo Stabile,Huracán,1945-1946
Julio Cozzi,Millonarios,1949-1950
Mario Boye,Millonarios,1949-1950
Nestor Rossi,Millonarios,1949-1950
Alfredo Di Stefano,Millonarios,1949-1950
Bill Higgins,Millonarios,1949-1950
Ary,Millonarios,1950-1951
Julio Cozzi,Millonarios,1950-1951
Nestor Rossi,Millonarios,1950-1951
Alfredo Di Stefano,Millonarios,1950-1951
Bobby Flavell,Millonarios,1950-1951
Ary,Millonarios,1951-1952
Julio Cozzi,Millonarios,1951-1952
Alberto Benegas,Millonarios,1951-1952
Nestor Rossi,Millonarios,1951-1952
Alfredo Di Stefano,Millonarios,1951-1952
Mario Fernandez,Millonarios,1951-1952
Julio Cozzi,Millonarios,1952-1953
Alberto Benegas,Millonarios,1952-1953
Nestor Rossi,Millonarios,1952-1953
Julio Aragon,Millonarios,1952-1953
Alfredo Di Stefano,Millonarios,1952-1953
Mario Fernandez,Millonarios,1952-1953
Cosme,Real Madrid,1953-1954
Juanito Alonso,Real Madrid,1953-1954
Pazos,Real Madrid,1953-1954
Becerril,Real Madrid,1953-1954
Campa,Real Madrid,1953-1954
Gabriel Alonso,Real Madrid,1953-1954
Navarro,Real Madrid,1953-1954
Oliva,Real Madrid,1953-1954
Rafael Lesmes,Real Madrid,1953-1954
Gento,Real Madrid,1953-1954
Goni,Real Madrid,1953-1954
Mateos,Real Madrid,1953-1954
Miguel Munoz,Real Madrid,1953-1954
Roque Olsen,Real Madrid,1953-1954
Sergio Rodriguez,Real Madrid,1953-1954
Vazquez,Real Madrid,1953-1954
Zarraga,Real Madrid,1953-1954
Atienza,Real Madrid,1953-1954
Julio Britos,Real Madrid,1953-1954
Alfredo Di Stefano,Real Madrid,1953-1954
Joseito,Real Madrid,1953-1954
Molowny,Real Madrid,1953-1954
Perez Paya,Real Madrid,1953-1954
Enrique Fernandez,Real Madrid,1953-1954
Cosme,Real Madrid,1954-1955
Juanito,Real Madrid,1954-1955
Juanito Alonso,Real Madrid,1954-1955
Campa,Real Madrid,1954-1955
Marquitos,Real Madrid,1954-1955
Navarro,Real Madrid,1954-1955
Oliva,Real Madrid,1954-1955
Rafael Lesmes,Real Madrid,1954-1955
Atienza,Real Madrid,1954-1955
Duran,Real Madrid,1954-1955
Gento,Real Madrid,1954-1955
Mateos,Real Madrid,1954-1955
Miguel Munoz,Real Madrid,1954-1955
Roque Olsen,Real Madrid,1954-1955
Hector Rial,Real Madrid,1954-1955
Zarraga,Real Madrid,1954-1955
Alfredo Di Stefano,Real Madrid,1954-1955
Joseito,Real Madrid,1954-1955
Molowny,Real Madrid,1954-1955
Perez Paya,Real Madrid,1954-1955
Jose Villalonga,Real Madrid,1954-1955
Berasaluce,Real Madrid,1955-1956
Juanito Alonso,Real Madrid,1955-1956
Becerril,Real Madrid,1955-1956
Marquitos,Real Madrid,1955-1956
Navarro,Real Madrid,1955-1956
Oliva,Real Madrid,1955-1956
Rafael Lesmes,Real Madrid,1955-1956
Atienza,Real Madrid,1955-1956
Gento,Real Madrid,1955-1956
Manolin,Real Madrid,1955-1956
Marsal,Real Madrid,1955-1956
Mateos,Real Madrid,1955-1956
Miguel Munoz,Real Madrid,1955-1956
Roque Olsen,Real Madrid,1955-1956
Hector Rial,Real Madrid,1955-1956
Rubio,Real Madrid,1955-1956
Santisteban,Real Madrid,1955-1956
Wilson,Real Madrid,1955-1956
Zarraga,Real Madrid,1955-1956
Castano,Real Madrid,1955-1956
Alfredo Di Stefano,Real Madrid,1955-1956
Joseito,Real Madrid,1955-1956
Molowny,Real Madrid,1955-1956
Perez Paya,Real Madrid,1955-1956
Jose Villalonga,Real Madrid,1955-1956
Berasaluce,Real Madrid,1956-1957
Juanito Alonso,Real Madrid,1956-1957
Becerril,Real Madrid,1956-1957
Casado,Real Madrid,1956-1957
Marquitos,Real Madrid,1956-1957
Navarro,Real Madrid,1956-1957
Oliva,Real Madrid,1956-1957
Rafael Lesmes,Real Madrid,1956-1957
Torres Pastor,Real Madrid,1956-1957
Atienza,Real Madrid,1956-1957
Gento,Real Madrid,1956-1957
Raymond Kopa,Real Madrid,1956-1957
Marsal,Real Madrid,1956-1957
Mateos,Real Madrid,1956-1957
Miguel Munoz,Real Madrid,1956-1957
Roque Olsen,Real Madrid,1956-1957
Hector Rial,Real Madrid,1956-1957
Ruiz Cervilla,Real Madrid,1956-1957
Santisteban,Real Madrid,1956-1957
Zarraga,Real Madrid,1956-1957
Alfredo Di Stefano,Real Madrid,1956-1957
Joseito,Real Madrid,1956-1957
Molowny,Real Madrid,1956-1957
Perez Paya,Real Madrid,1956-1957
Ferenc Puskas,Real Madrid,1956-1957
Luis Carniglia,Real Madrid,1956-1957
Berasaluce,Real Madrid,1957-1958
Rogelio Dominguez,Real Madrid,1957-1958
Juanito Alonso,Real Madrid,1957-1958
Becerril,Real Madrid,1957-1958
Marquitos,Real Madrid,1957-1958
Rafael Lesmes,Real Madrid,1957-1958
Jose Santamaria,Real Madrid,1957-1958
Atienza,Real Madrid,1957-1958
Gento,Real Madrid,1957-1958
Raymond Kopa,Real Madrid,1957-1958
Marsal,Real Madrid,1957-1958
Mateos,Real Madrid,1957-1958
Miguel Munoz,Real Madrid,1957-1958
Pereda,Real Madrid,1957-1958
Hector Rial,Real Madrid,1957-1958
Rubio,Real Madrid,1957-1958
Ruiz Cervilla,Real Madrid,1957-1958
Santisteban,Real Madrid,1957-1958
Zarraga,Real Madrid,1957-1958
Brunet,Real Madrid,1957-1958
Alfredo Di Stefano,Real Madrid,1957-1958
Joseito,Real Madrid,1957-1958
Ferenc Puskas,Real Madrid,1957-1958
Luis Carniglia,Real Madrid,1957-1958
Berasaluce,Real Madrid,1958-1959
Rogelio Dominguez,Real Madrid,1958-1959
Juanito Alonso,Real Madrid,1958-1959
Marquitos,Real Madrid,1958-1959
Miche,Real Madrid,1958-1959
Rafael Lesmes,Real Madrid,1958-1959
Jose Santamaria,Real Madrid,1958-1959
Atienza,Real Madrid,1958-1959
Didi,Real Madrid,1958-1959
Falin,Real Madrid,1958-1959
Gento,Real Madrid,1958-1959
Raymond Kopa,Real Madrid,1958-1959
Marsal,Real Madrid,1958-1959
Mateos,Real Madrid,1958-1959
Hector Ramos,Real Madrid,1958-1959
Hector Rial,Real Madrid,1958-1959
Ruiz Cervilla,Real Madrid,1958-1959
Santisteban,Real Madrid,1958-1959
Segurola,Real Madrid,1958-1959
Zarraga,Real Madrid,1958-1959
Alfredo Di Stefano,Real Madrid,1958-1959
Herrera,Real Madrid,1958-1959
Joseito,Real Madrid,1958-1959
Ferenc Puskas,Real Madrid,1958-1959
Luis Carniglia,Real Madrid,1958-1959
Bagur,Real Madrid,1959-1960
Berasaluce,Real Madrid,1959-1960
Rogelio Dominguez,Real Madrid,1959-1960
Juanito Alonso,Real Madrid,1959-1960
Marquitos,Real Madrid,1959-1960
Miche,Real Madrid,1959-1960
Pachin,Real Madrid,1959-1960
Pantaleon,Real Madrid,1959-1960
Rafael Lesmes,Real Madrid,1959-1960
Jose Santamaria,Real Madrid,1959-1960
Del Sol,Real Madrid,1959-1960
Didi,Real Madrid,1959-1960
Falin,Real Madrid,1959-1960
Gento,Real Madrid,1959-1960
Mateos,Real Madrid,1959-1960
Hector Rial,Real Madrid,1959-1960
Ruiz Cervilla,Real Madrid,1959-1960
Santisteban,Real Madrid,1959-1960
Vidal,Real Madrid,1959-1960
Zarraga,Real Madrid,1959-1960
Bueno,Real Madrid,1959-1960
Canario,Real Madrid,1959-1960
Alfredo Di Stefano,Real Madrid,1959-1960
Herrera,Real Madrid,1959-1960
Laszlo Kaszas,Real Madrid,1959-1960
Pepillo,Real Madrid,1959-1960
Ferenc Puskas,Real Madrid,1959-1960
Miguel Munoz,Real Madrid,1959-1960
Bagur,Real Madrid,1960-1961
Rogelio Dominguez,Real Madrid,1960-1961
Juanito Alonso,Real Madrid,1960-1961
Vicente Train,Real Madrid,1960-1961
Casado,Real Madrid,1960-1961
Marquitos,Real Madrid,1960-1961
Miche,Real Madrid,1960-1961
Pachin,Real Madrid,1960-1961
Jose Santamaria,Real Madrid,1960-1961
Del Sol,Real Madrid,1960-1961
Didi,Real Madrid,1960-1961
Gento,Real Madrid,1960-1961
Mateos,Real Madrid,1960-1961
Hector Rial,Real Madrid,1960-1961
Ruiz Cervilla,Real Madrid,1960-1961
Santisteban,Real Madrid,1960-1961
Vidal,Real Madrid,1960-1961
Villa,Real Madrid,1960-1961
Zarraga,Real Madrid,1960-1961
Bueno,Real Madrid,1960-1961
Canario,Real Madrid,1960-1961
Alfredo Di Stefano,Real Madrid,1960-1961
Herrera,Real Madrid,1960-1961
Ferenc Puskas,Real Madrid,1960-1961
Agne Simonsson,Real Madrid,1960-1961
Miguel Munoz,Real Madrid,1960-1961
Araquistain,Real Madrid,1961-1962
Betancort,Real Madrid,1961-1962
Vicente Train,Real Madrid,1961-1962
Casado,Real Madrid,1961-1962
Isidro Sanchez,Real Madrid,1961-1962
Marquitos,Real Madrid,1961-1962
Miera,Real Madrid,1961-1962
Pachin,Real Madrid,1961-1962
Jose Santamaria,Real Madrid,1961-1962
Del Sol,Real Madrid,1961-1962
Felix Ruiz,Real Madrid,1961-1962
Felo,Real Madrid,1961-1962
Gento,Real Madrid,1961-1962
Ruiz Cervilla,Real Madrid,1961-1962
Vidal,Real Madrid,1961-1962
Zarraga,Real Madrid,1961-1962
Bueno,Real Madrid,1961-1962
Canario,Real Madrid,1961-1962
Alfredo Di Stefano,Real Madrid,1961-1962
Pepillo,Real Madrid,1961-1962
Ferenc Puskas,Real Madrid,1961-1962
Tejada,Real Madrid,1961-1962
Miguel Munoz,Real Madrid,1961-1962
Araquistain,Real Madrid,1962-1963
Garcia Fernandez,Real Madrid,1962-1963
Vicente Train,Real Madrid,1962-1963
Casado,Real Madrid,1962-1963
Isidro Sanchez,Real Madrid,1962-1963
Miera,Real Madrid,1962-1963
Pachin,Real Madrid,1962-1963
Jose Santamaria,Real Madrid,1962-1963
Felix Ruiz,Real Madrid,1962-1963
Felo,Real Madrid,1962-1963
Gento,Real Madrid,1962-1963
Lucien Muller,Real Madrid,1962-1963
Zoco,Real Madrid,1962-1963
Amancio,Real Madrid,1962-1963
Bueno,Real Madrid,1962-1963
Yanko Daucik,Real Madrid,1962-1963
Alfredo Di Stefano,Real Madrid,1962-1963
Evaristo,Real Madrid,1962-1963
Ferenc Puskas,Real Madrid,1962-1963
Tejada,Real Madrid,1962-1963
Miguel Munoz,Real Madrid,1962-1963
Araquistain,Real Madrid,1963-1964
Betancort,Real Madrid,1963-1964
Vicente Train,Real Madrid,1963-1964
Casado,Real Madrid,1963-1964
Echarri,Real Madrid,1963-1964
Isidro Sanchez,Real Madrid,1963-1964
Maestro,Real Madrid,1963-1964
Miera,Real Madrid,1963-1964
Pachin,Real Madrid,1963-1964
Jose Santamaria,Real Madrid,1963-1964
Felix Ruiz,Real Madrid,1963-1964
Felo,Real Madrid,1963-1964
Gento,Real Madrid,1963-1964
Lucien Muller,Real Madrid,1963-1964
Pipi Suarez,Real Madrid,1963-1964
Santisteban,Real Madrid,1963-1964
Zoco,Real Madrid,1963-1964
Amancio,Real Madrid,1963-1964
Bueno,Real Madrid,1963-1964
Yanko Daucik,Real Madrid,1963-1964
Alfredo Di Stefano,Real Madrid,1963-1964
Evaristo,Real Madrid,1963-1964
Ferenc Puskas,Real Madrid,1963-1964
Serena,Real Madrid,1963-1964
Miguel Munoz,Real Madrid,1963-1964
Carmelo Cedrun,Espanyol Barcelona,1964-1965
Piris,Espanyol Barcelona,1964-1965
Abel Hernandez,Espanyol Barcelona,1964-1965
Alfonso Cardona,Espanyol Barcelona,1964-1965
Barnils,Espanyol Barcelona,1964-1965
Bartoli,Espanyol Barcelona,1964-1965
