player,team,season,type
Iturrioz,Real Sociedad B,2008-2009,club
San Sebastian,Real Sociedad B,2008-2009,club
Tono,Real Sociedad B,2008-2009,club
Arkaitz,Real Sociedad B,2008-2009,club
Bingen,Real Sociedad B,2008-2009,club
Liassine Cadamuro,Real Sociedad B,2008-2009,club
Esnaola,Real Sociedad B,2008-2009,club
Morgado,Real Sociedad B,2008-2009,club
Sarasola,Real Sociedad B,2008-2009,club
Alain Eizmendi,Real Sociedad B,2008-2009,club
Dani Garcia,Real Sociedad B,2008-2009,club
Errasti,Real Sociedad B,2008-2009,club
Gabilondo,Real Sociedad B,2008-2009,club
Illarra,Real Sociedad B,2008-2009,club
Javi Ros,Real Sociedad B,2008-2009,club
Zurutuza,Real Sociedad B,2008-2009,club
Oumar Diaby,Real Sociedad B,2008-2009,club
Eneko Eizmendi,Real Sociedad B,2008-2009,club
Orbegozo,Real Sociedad B,2008-2009,club
Oskitz,Real Sociedad B,2008-2009,club
Ozkoidi,Real Sociedad B,2008-2009,club
Giovanni Sio,Real Sociedad B,2008-2009,club
Viguera,Real Sociedad B,2008-2009,club
Idiakez,Real Sociedad B,2008-2009,club
Claudio Bravo,Real Sociedad,2009-2010,club
Riesgo,Real Sociedad,2009-2010,club
Zubikarai,Real Sociedad,2009-2010,club
Ansotegi,Real Sociedad,2009-2010,club
Carlos Martinez,Real Sociedad,2009-2010,club
De la Bella,Real Sociedad,2009-2010,club
Elustondo,Real Sociedad,2009-2010,club
Esnaola,Real Sociedad,2009-2010,club
Labaka,Real Sociedad,2009-2010,club
Mikel,Real Sociedad,2009-2010,club
Sarasola,Real Sociedad,2009-2010,club
Albistegui,Real Sociedad,2009-2010,club
Aranburu,Real Sociedad,2009-2010,club
Dani Estrada,Real Sociedad,2009-2010,club
Diego Rivas,Real Sociedad,2009-2010,club
Jonatan Estrada,Real Sociedad,2009-2010,club
Illarra,Real Sociedad,2009-2010,club
Markel Bergara,Real Sociedad,2009-2010,club
Sergio Rodriguez,Real Sociedad,2009-2010,club
Franck Songo'o,Real Sociedad,2009-2010,club
Xabi Prieto,Real Sociedad,2009-2010,club
Zurutuza,Real Sociedad,2009-2010,club
Agirretxe,Real Sociedad,2009-2010,club
Carlos Bueno,Real Sociedad,2009-2010,club
Emilio N'Sue,Real Sociedad,2009-2010,club
Viguera,Real Sociedad,2009-2010,club
Martin Lasarte,Real Sociedad,2009-2010,club
Alberto Iturralde,Real Sociedad,2009-2010,club
Roberto Navajas,Real Sociedad,2009-2010,club
Claudio Bravo,Real Sociedad,2010-2011,club
Tono,Real Sociedad,2010-2011,club
Zubikarai,Real Sociedad,2010-2011,club
Ansotegi,Real Sociedad,2010-2011,club
Liassine Cadamuro,Real Sociedad,2010-2011,club
Carlos Martinez,Real Sociedad,2010-2011,club
De la Bella,Real Sociedad,2010-2011,club
Vadim Demidov,Real Sociedad,2010-2011,club
Elustondo,Real Sociedad,2010-2011,club
Labaka,Real Sociedad,2010-2011,club
Mikel,Real Sociedad,2010-2011,club
Aranburu,Real Sociedad,2010-2011,club
Dani Estrada,Real Sociedad,2010-2011,club
Diego Rivas,Real Sociedad,2010-2011,club
Illarra,Real Sociedad,2010-2011,club
Markel Bergara,Real Sociedad,2010-2011,club
Jeffrey Sarpong,Real Sociedad,2010-2011,club
Sutil,Real Sociedad,2010-2011,club
Xabi Prieto,Real Sociedad,2010-2011,club
Zurutuza,Real Sociedad,2010-2011,club
Agirretxe,Real Sociedad,2010-2011,club
Diego Ifran,Real Sociedad,2010-2011,club
Llorente,Real Sociedad,2010-2011,club
Raul Tamudo,Real Sociedad,2010-2011,club
Martin Lasarte,Real Sociedad,2010-2011,club
Alberto Iturralde,Real Sociedad,2010-2011,club
Roberto Navajas,Real Sociedad,2010-2011,club
Julen Masach,Real Sociedad,2010-2011,club
Claudio Bravo,Real Sociedad,2011-2012,club
Tono,Real Sociedad,2011-2012,club
Zubikarai,Real Sociedad,2011-2012,club
Ansotegi,Real Sociedad,2011-2012,club
Liassine Cadamuro,Real Sociedad,2011-2012,club
Carlos Martinez,Real Sociedad,2011-2012,club
De la Bella,Real Sociedad,2011-2012,club
Vadim Demidov,Real Sociedad,2011-2012,club
Elustondo,Real Sociedad,2011-2012,club
Inigo Martinez,Real Sociedad,2011-2012,club
Mikel,Real Sociedad,2011-2012,club
Aranburu,Real Sociedad,2011-2012,club
Dani Estrada,Real Sociedad,2011-2012,club
Illarra,Real Sociedad,2011-2012,club
Javi Ros,Real Sociedad,2011-2012,club
Markel Bergara,Real Sociedad,2011-2012,club
Ruben Pardo,Real Sociedad,2011-2012,club
Xabi Prieto,Real Sociedad,2011-2012,club
Zurutuza,Real Sociedad,2011-2012,club
Agirretxe,Real Sociedad,2011-2012,club
Diego Ifran,Real Sociedad,2011-2012,club
Llorente,Real Sociedad,2011-2012,club
Carlos Vela,Real Sociedad,2011-2012,club
Philippe Montanier,Real Sociedad,2011-2012,club
Roberto Navajas,Real Sociedad,2011-2012,club
Claudio Bravo,Real Sociedad,2012-2013,club
Royo,Real Sociedad,2012-2013,club
Zubikarai,Real Sociedad,2012-2013,club
Ansotegi,Real Sociedad,2012-2013,club
Liassine Cadamuro,Real Sociedad,2012-2013,club
Carlos Martinez,Real Sociedad,2012-2013,club
Cote,Real Sociedad,2012-2013,club
De la Bella,Real Sociedad,2012-2013,club
Elustondo,Real Sociedad,2012-2013,club
Inigo Martinez,Real Sociedad,2012-2013,club
Mikel,Real Sociedad,2012-2013,club
Gonzalo Castro,Real Sociedad,2012-2013,club
Dani Estrada,Real Sociedad,2012-2013,club
Victor Fuchs,Real Sociedad,2012-2013,club
Illarra,Real Sociedad,2012-2013,club
Javi Ros,Real Sociedad,2012-2013,club
Markel Bergara,Real Sociedad,2012-2013,club
Pablo Hervias,Real Sociedad,2012-2013,club
Ruben Pardo,Real Sociedad,2012-2013,club
Xabi Prieto,Real Sociedad,2012-2013,club
Zurutuza,Real Sociedad,2012-2013,club
Agirretxe,Real Sociedad,2012-2013,club
Diego Ifran,Real Sociedad,2012-2013,club
Iker Hernandez,Real Sociedad,2012-2013,club
Jonathan Nanizayamo,Real Sociedad,2012-2013,club
Carlos Vela,Real Sociedad,2012-2013,club
Philippe Montanier,Real Sociedad,2012-2013,club
Jagoba Arrasate,Real Sociedad,2012-2013,club
Roberto Navajas,Real Sociedad,2012-2013,club
Claudio Bravo,Real Sociedad,2013-2014,club
Royo,Real Sociedad,2013-2014,club
Zubikarai,Real Sociedad,2013-2014,club
Ansotegi,Real Sociedad,2013-2014,club
Alexander Callens,Real Sociedad,2013-2014,club
Carlos Martinez,Real Sociedad,2013-2014,club
Cote,Real Sociedad,2013-2014,club
De la Bella,Real Sociedad,2013-2014,club
Elustondo,Real Sociedad,2013-2014,club
Inigo Martinez,Real Sociedad,2013-2014,club
Joseba Zaldua,Real Sociedad,2013-2014,club
Julen Etxabeguren,Real Sociedad,2013-2014,club
Mikel,Real Sociedad,2013-2014,club
Alain,Real Sociedad,2013-2014,club
Canales,Real Sociedad,2013-2014,club
Gonzalo Castro,Real Sociedad,2013-2014,club
Dani Estrada,Real Sociedad,2013-2014,club
Gaztanaga,Real Sociedad,2013-2014,club
Granero,Real Sociedad,2013-2014,club
Javi Ros,Real Sociedad,2013-2014,club
Markel Bergara,Real Sociedad,2013-2014,club
Pablo Hervias,Real Sociedad,2013-2014,club
Ruben Pardo,Real Sociedad,2013-2014,club
Xabi Prieto,Real Sociedad,2013-2014,club
Zurutuza,Real Sociedad,2013-2014,club
Agirretxe,Real Sociedad,2013-2014,club
Iker Hernandez,Real Sociedad,2013-2014,club
Sangalli,Real Sociedad,2013-2014,club
Haris Seferovic,Real Sociedad,2013-2014,club
Carlos Vela,Real Sociedad,2013-2014,club
Jagoba Arrasate,Real Sociedad,2013-2014,club
