player,team,season,type
Coutinho,None,2008-2009,club
Luca Castellazzi,Inter,2010-2011,club
Alberto Gallinetta,Inter,2010-2011,club
Julio Cesar,Inter,2010-2011,club
Paolo Orlandoni,Inter,2010-2011,club
Simone Benedetti,Inter,2010-2011,club
Cristiano Biraghi,Inter,2010-2011,club
Cristian Chivu,Inter,2010-2011,club
Ivan Cordoba,Inter,2010-2011,club
Davide Faraoni,Inter,2010-2011,club
Lucio,Inter,2010-2011,club
Maicon,Inter,2010-2011,club
Marco Materazzi,Inter,2010-2011,club
Yuto Nagatomo,Inter,2010-2011,club
Felice Natalino,Inter,2010-2011,club
Andrea Ranocchia,Inter,2010-2011,club
Walter Samuel,Inter,2010-2011,club
Javier Zanetti,Inter,2010-2011,club
Esteban Cambiasso,Inter,2010-2011,club
Coutinho,Inter,2010-2011,club
Lorenzo Crisetig,Inter,2010-2011,club
Kerlon,Inter,2010-2011,club
Houssine Kharja,Inter,2010-2011,club
MacDonald Mariga,Inter,2010-2011,club
Joel Obi,Inter,2010-2011,club
Wesley Sneijder,Inter,2010-2011,club
Dejan Stankovic,Inter,2010-2011,club
Thiago Motta,Inter,2010-2011,club
Denis Alibec,Inter,2010-2011,club
Simone Dell'Agnello,Inter,2010-2011,club
Samuel Eto'o,Inter,2010-2011,club
Diego Milito,Inter,2010-2011,club
Goran Pandev,Inter,2010-2011,club
Giampaolo Pazzini,Inter,2010-2011,club
David Suazo,Inter,2010-2011,club
Leonardo,Inter,2010-2011,club
Luca Castellazzi,Inter,2011-2012,club
Julio Cesar,Inter,2011-2012,club
Riccardo Melgrati,Inter,2011-2012,club
Paolo Orlandoni,Inter,2011-2012,club
Matteo Bianchetti,Inter,2011-2012,club
Cristian Chivu,Inter,2011-2012,club
Ivan Cordoba,Inter,2011-2012,club
Davide Faraoni,Inter,2011-2012,club
Juan Jesus,Inter,2011-2012,club
Lucio,Inter,2011-2012,club
Maicon,Inter,2011-2012,club
Yuto Nagatomo,Inter,2011-2012,club
Andrea Ranocchia,Inter,2011-2012,club
Walter Samuel,Inter,2011-2012,club
Javier Zanetti,Inter,2011-2012,club
Ricardo Alvarez,Inter,2011-2012,club
Esteban Cambiasso,Inter,2011-2012,club
Lorenzo Crisetig,Inter,2011-2012,club
Alfred Duncan,Inter,2011-2012,club
Fredy Guarin,Inter,2011-2012,club
Kerlon,Inter,2011-2012,club
Isaac Ntow,Inter,2011-2012,club
Joel Obi,Inter,2011-2012,club
Angelo Palombo,Inter,2011-2012,club
Andrea Poli,Inter,2011-2012,club
Andrea Romano,Inter,2011-2012,club
Wesley Sneijder,Inter,2011-2012,club
Dejan Stankovic,Inter,2011-2012,club
Luc Castaignos,Inter,2011-2012,club
Diego Forlan,Inter,2011-2012,club
Marko Livaja,Inter,2011-2012,club
Samuele Longo,Inter,2011-2012,club
Diego Milito,Inter,2011-2012,club
Giampaolo Pazzini,Inter,2011-2012,club
Mauro Zarate,Inter,2011-2012,club
Andrea Stramaccioni,Inter,2011-2012,club
Vid Belec,Inter,2012-2013,club
Juan Carrizo,Inter,2012-2013,club
Luca Castellazzi,Inter,2012-2013,club
Raffaele Di Gennaro,Inter,2012-2013,club
Samir Handanovic,Inter,2012-2013,club
Andrea Bandini,Inter,2012-2013,club
Cristian Chivu,Inter,2012-2013,club
Isaac Donkor,Inter,2012-2013,club
Marco Ferrara,Inter,2012-2013,club
Jonathan,Inter,2012-2013,club
Juan Jesus,Inter,2012-2013,club
Ibrahima M'Baye,Inter,2012-2013,club
Yuto Nagatomo,Inter,2012-2013,club
Andrea Ranocchia,Inter,2012-2013,club
Walter Samuel,Inter,2012-2013,club
Matias Silvestre,Inter,2012-2013,club
Lukas Spendlhofer,Inter,2012-2013,club
Javier Zanetti,Inter,2012-2013,club
Ricardo Alvarez,Inter,2012-2013,club
Marco Benassi,Inter,2012-2013,club
Esteban Cambiasso,Inter,2012-2013,club
Yago Del Piero,Inter,2012-2013,club
Walter Gargano,Inter,2012-2013,club
Fredy Guarin,Inter,2012-2013,club
Mateo Kovacic,Inter,2012-2013,club
Zdravko Kuzmanovic,Inter,2012-2013,club
Gaby Mudingayi,Inter,2012-2013,club
Joel Obi,Inter,2012-2013,club
Patrick Olsen,Inter,2012-2013,club
Simone Pasa,Inter,2012-2013,club
Alvaro Pereira,Inter,2012-2013,club
Ezequiel Schelotto,Inter,2012-2013,club
Dejan Stankovic,Inter,2012-2013,club
Niccolo Belloni,Inter,2012-2013,club
Antonio Cassano,Inter,2012-2013,club
Matteo Colombi,Inter,2012-2013,club
Francesco Forte,Inter,2012-2013,club
Luca Garritano,Inter,2012-2013,club
Diego Milito,Inter,2012-2013,club
Rodrigo Palacio,Inter,2012-2013,club
Tommaso Rocchi,Inter,2012-2013,club
Giovanni Terrani,Inter,2012-2013,club
Nunzio Papale,Inter,2012-2013,club
Brad Jones,Liverpool FC,2013-2014,club
Simon Mignolet,Liverpool FC,2013-2014,club
Danny Ward,Liverpool FC,2013-2014,club
Daniel Agger,Liverpool FC,2013-2014,club
Aly Cissokho,Liverpool FC,2013-2014,club
Jon Flanagan,Liverpool FC,2013-2014,club
Glen Johnson,Liverpool FC,2013-2014,club
Lloyd Jones,Liverpool FC,2013-2014,club
Jose Enrique,Liverpool FC,2013-2014,club
Martin Kelly,Liverpool FC,2013-2014,club
Mamadou Sakho,Liverpool FC,2013-2014,club
Stephen Sama,Liverpool FC,2013-2014,club
Martin Skrtel,Liverpool FC,2013-2014,club
Brad Smith,Liverpool FC,2013-2014,club
Kolo Toure,Liverpool FC,2013-2014,club
Joe Allen,Liverpool FC,2013-2014,club
Cameron Brannagan,Liverpool FC,2013-2014,club
Coutinho,Liverpool FC,2013-2014,club
Steven Gerrard,Liverpool FC,2013-2014,club
Jordan Henderson,Liverpool FC,2013-2014,club
Joao Carlos Teixeira,Liverpool FC,2013-2014,club
Lucas Leiva,Liverpool FC,2013-2014,club
Luis Alberto,Liverpool FC,2013-2014,club
Jordan Rossiter,Liverpool FC,2013-2014,club
Iago Aspas,Liverpool FC,2013-2014,club
Victor Moses,Liverpool FC,2013-2014,club
Jerome Sinclair,Liverpool FC,2013-2014,club
Raheem Sterling,Liverpool FC,2013-2014,club
Daniel Sturridge,Liverpool FC,2013-2014,club
Luis Suarez,Liverpool FC,2013-2014,club
Samed Yesil,Liverpool FC,2013-2014,club
Brendan Rodgers,Liverpool FC,2013-2014,club
Mike Marsh,Liverpool FC,2013-2014,club
Colin Pascoe,Liverpool FC,2013-2014,club
John Achterberg,Liverpool FC,2013-2014,club
Brad Jones,Liverpool FC,2014-2015,club
Simon Mignolet,Liverpool FC,2014-2015,club
Danny Ward,Liverpool FC,2014-2015,club
Alberto Moreno,Liverpool FC,2014-2015,club
Jon Flanagan,Liverpool FC,2014-2015,club
Glen Johnson,Liverpool FC,2014-2015,club
Lloyd Jones,Liverpool FC,2014-2015,club
Jose Enrique,Liverpool FC,2014-2015,club
Dejan Lovren,Liverpool FC,2014-2015,club
Manquillo,Liverpool FC,2014-2015,club
Mamadou Sakho,Liverpool FC,2014-2015,club
Martin Skrtel,Liverpool FC,2014-2015,club
Brad Smith,Liverpool FC,2014-2015,club
Kolo Toure,Liverpool FC,2014-2015,club
Joe Allen,Liverpool FC,2014-2015,club
Cameron Brannagan,Liverpool FC,2014-2015,club
Emre Can,Liverpool FC,2014-2015,club
Coutinho,Liverpool FC,2014-2015,club
Jack Dunn,Liverpool FC,2014-2015,club
Steven Gerrard,Liverpool FC,2014-2015,club
Jordan Henderson,Liverpool FC,2014-2015,club
Joao Carlos Teixeira,Liverpool FC,2014-2015,club
Adam Lallana,Liverpool FC,2014-2015,club
Lucas Leiva,Liverpool FC,2014-2015,club
Lazar Markovic,Liverpool FC,2014-2015,club
Sheyi Ojo,Liverpool FC,2014-2015,club
Jordan Rossiter,Liverpool FC,2014-2015,club
Mario Balotelli,Liverpool FC,2014-2015,club
Fabio Borini,Liverpool FC,2014-2015,club
Jordon Ibe,Liverpool FC,2014-2015,club
Rickie Lambert,Liverpool FC,2014-2015,club
Jerome Sinclair,Liverpool FC,2014-2015,club
Raheem Sterling,Liverpool FC,2014-2015,club
Daniel Sturridge,Liverpool FC,2014-2015,club
Samed Yesil,Liverpool FC,2014-2015,club
Brendan Rodgers,Liverpool FC,2014-2015,club
Mike Marsh,Liverpool FC,2014-2015,club
Colin Pascoe,Liverpool FC,2014-2015,club
John Achterberg,Liverpool FC,2014-2015,club
Adam Bogdan,Liverpool FC,2015-2016,club
Simon Mignolet,Liverpool FC,2015-2016,club
Danny Ward,Liverpool FC,2015-2016,club
