player,team,season
Diego Maradona,None,1975-1976
Miguel Gette,Argentinos Juniors,1976-1977
Carlos Fren,Argentinos Juniors,1976-1977
Diego Maradona,Argentinos Juniors,1976-1977
Carlos Alvarez,Argentinos Juniors,1976-1977
Adrian Domenech,Argentinos Juniors,1977-1978
Carlos Fren,Argentinos Juniors,1977-1978
Jorge Lopez,Argentinos Juniors,1977-1978
Diego Maradona,Argentinos Juniors,1977-1978
Oscar Candia,Argentinos Juniors,1978-1979
Abelardo Carabelli,Argentinos Juniors,1978-1979
Adrian Domenech,Argentinos Juniors,1978-1979
Ricardo Giusti,Argentinos Juniors,1978-1979
Diego Maradona,Argentinos Juniors,1978-1979
Hugo Saggiorato,Argentinos Juniors,1978-1979
Hector Arrieta,Argentinos Juniors,1978-1979
Miguel Lopez,Argentinos Juniors,1978-1979
Adrian Domenech,Argentinos Juniors,1979-1980
Enrique Wolff,Argentinos Juniors,1979-1980
Ricardo Giusti,Argentinos Juniors,1979-1980
Diego Maradona,Argentinos Juniors,1979-1980
Eduardo Solari,Argentinos Juniors,1979-1980
Mario Finarolli,Argentinos Juniors,1979-1980
Eugenio Morel,Argentinos Juniors,1979-1980
Miguel Lopez,Argentinos Juniors,1979-1980
Hugo Orlando Gatti,Boca Juniors,1981-1982
Sergio Genaro,Boca Juniors,1981-1982
Oscar Vijande,Boca Juniors,1981-1982
Hugo Alvez,Boca Juniors,1981-1982
Marcelo Bachino,Boca Juniors,1981-1982
Eduardo Bargas,Boca Juniors,1981-1982
Carlos Cordoba,Boca Juniors,1981-1982
Ariel Krasouski,Boca Juniors,1981-1982
Luis Luquez,Boca Juniors,1981-1982
Roberto Mouzo,Boca Juniors,1981-1982
Rodrigues Neto,Boca Juniors,1981-1982
Oscar Ruggeri,Boca Juniors,1981-1982
Jose Suarez,Boca Juniors,1981-1982
Jose Tesare,Boca Juniors,1981-1982
Ruben Acevedo,Boca Juniors,1981-1982
Abel Alves,Boca Juniors,1981-1982
Jorge Benitez,Boca Juniors,1981-1982
Miguel Brindisi,Boca Juniors,1981-1982
Claudio Dykstra,Boca Juniors,1981-1982
Diego Maradona,Boca Juniors,1981-1982
Roberto Pasucci,Boca Juniors,1981-1982
Marcelo Trobbiani,Boca Juniors,1981-1982
Jorge Vazquez,Boca Juniors,1981-1982
Mario Zanabria,Boca Juniors,1981-1982
Julio Apariente,Boca Juniors,1981-1982
Jorge Cecchi,Boca Juniors,1981-1982
Ricardo Gareca,Boca Juniors,1981-1982
Horacio Matuszyczk,Boca Juniors,1981-1982
Hugo Perotti,Boca Juniors,1981-1982
Sergio Sanchez,Boca Juniors,1981-1982
Hector Scotta,Boca Juniors,1981-1982
Juan Sotelo,Boca Juniors,1981-1982
Carmelo Faraone,Boca Juniors,1981-1982
Amador,FC Barcelona,1982-1983
Artola,FC Barcelona,1982-1983
Urruti,FC Barcelona,1982-1983
Alexanko,FC Barcelona,1982-1983
Esteban Vigo,FC Barcelona,1982-1983
Gerardo,FC Barcelona,1982-1983
Julio Alberto,FC Barcelona,1982-1983
Migueli,FC Barcelona,1982-1983
Estella,FC Barcelona,1982-1983
Manolo,FC Barcelona,1982-1983
Diego Maradona,FC Barcelona,1982-1983
Moratalla,FC Barcelona,1982-1983
Olmo,FC Barcelona,1982-1983
Perico Alonso,FC Barcelona,1982-1983
Sanchez,FC Barcelona,1982-1983
Bernd Schuster,FC Barcelona,1982-1983
Urbano,FC Barcelona,1982-1983
Victor Munoz,FC Barcelona,1982-1983
Carrasco,FC Barcelona,1982-1983
Clos,FC Barcelona,1982-1983
Marcos Alonso,FC Barcelona,1982-1983
Moran,FC Barcelona,1982-1983
Pichi Alonso,FC Barcelona,1982-1983
Quini,FC Barcelona,1982-1983
Cesar Luis Menotti,FC Barcelona,1982-1983
Amador,FC Barcelona,1983-1984
Artola,FC Barcelona,1983-1984
Urruti,FC Barcelona,1983-1984
Alexanko,FC Barcelona,1983-1984
Esteban Vigo,FC Barcelona,1983-1984
Gerardo,FC Barcelona,1983-1984
Julio Alberto,FC Barcelona,1983-1984
Migueli,FC Barcelona,1983-1984
Manolo,FC Barcelona,1983-1984
Diego Maradona,FC Barcelona,1983-1984
Moratalla,FC Barcelona,1983-1984
Olmo,FC Barcelona,1983-1984
Perico Alonso,FC Barcelona,1983-1984
Sanchez,FC Barcelona,1983-1984
Bernd Schuster,FC Barcelona,1983-1984
Urbano,FC Barcelona,1983-1984
Victor Munoz,FC Barcelona,1983-1984
Carrasco,FC Barcelona,1983-1984
Clos,FC Barcelona,1983-1984
Jorge Gabrich,FC Barcelona,1983-1984
Marcos Alonso,FC Barcelona,1983-1984
Moran,FC Barcelona,1983-1984
Pichi Alonso,FC Barcelona,1983-1984
Quini,FC Barcelona,1983-1984
Rojo,FC Barcelona,1983-1984
Cesar Luis Menotti,FC Barcelona,1983-1984
Luciano Castellini,SSC Napoli,1984-1985
Raffaele Di Fusco,SSC Napoli,1984-1985
Simone Boldini,SSC Napoli,1984-1985
Giuseppe Bruscolotti,SSC Napoli,1984-1985
Antonio Carannante,SSC Napoli,1984-1985
Marco De Simone,SSC Napoli,1984-1985
Ciro Ferrara,SSC Napoli,1984-1985
Moreno Ferrario,SSC Napoli,1984-1985
Raimondo Marino,SSC Napoli,1984-1985
Ugo Napolitano,SSC Napoli,1984-1985
Salvatore Bagni,SSC Napoli,1984-1985
Luigi Caffarelli,SSC Napoli,1984-1985
Costanzo Celestini,SSC Napoli,1984-1985
Paolo Dal Fiume,SSC Napoli,1984-1985
Walter de Vecchi,SSC Napoli,1984-1985
Massimiliano Favo,SSC Napoli,1984-1985
Diego Maradona,SSC Napoli,1984-1985
Pietro Puzone,SSC Napoli,1984-1985
Daniel Bertoni,SSC Napoli,1984-1985
Domenico Penzo,SSC Napoli,1984-1985
Rino Marchesi,SSC Napoli,1984-1985
Raffaele Di Fusco,SSC Napoli,1985-1986
Claudio Garella,SSC Napoli,1985-1986
Giuseppe Bruscolotti,SSC Napoli,1985-1986
Antonio Carannante,SSC Napoli,1985-1986
Ciro Ferrara,SSC Napoli,1985-1986
Moreno Ferrario,SSC Napoli,1985-1986
Massimo Filardi,SSC Napoli,1985-1986
Raimondo Marino,SSC Napoli,1985-1986
Alessandro Renica,SSC Napoli,1985-1986
Salvatore Bagni,SSC Napoli,1985-1986
Ruben Buriani,SSC Napoli,1985-1986
Luigi Caffarelli,SSC Napoli,1985-1986
Tarcisio Catanese,SSC Napoli,1985-1986
Costanzo Celestini,SSC Napoli,1985-1986
Massimiliano Favo,SSC Napoli,1985-1986
Diego Maradona,SSC Napoli,1985-1986
Eraldo Pecci,SSC Napoli,1985-1986
Alessandro Romano,SSC Napoli,1985-1986
Francesco Baiano,SSC Napoli,1985-1986
Daniel Bertoni,SSC Napoli,1985-1986
Bruno Giordano,SSC Napoli,1985-1986
Domenico Penzo,SSC Napoli,1985-1986
Ottavio Bianchi,SSC Napoli,1985-1986
Raffaele Di Fusco,SSC Napoli,1986-1987
Claudio Garella,SSC Napoli,1986-1987
Giuseppe Taglialatela,SSC Napoli,1986-1987
Tebaldo Bigliardi,SSC Napoli,1986-1987
Giuseppe Bruscolotti,SSC Napoli,1986-1987
Antonio Carannante,SSC Napoli,1986-1987
Ciro Ferrara,SSC Napoli,1986-1987
Moreno Ferrario,SSC Napoli,1986-1987
Massimo Filardi,SSC Napoli,1986-1987
Alessandro Renica,SSC Napoli,1986-1987
Francesco Romano,SSC Napoli,1986-1987
Giuseppe Volpecina,SSC Napoli,1986-1987
Salvatore Bagni,SSC Napoli,1986-1987
Luigi Caffarelli,SSC Napoli,1986-1987
Costanzo Celestini,SSC Napoli,1986-1987
Fernando De Napoli,SSC Napoli,1986-1987
Davide Lampugnani,SSC Napoli,1986-1987
Diego Maradona,SSC Napoli,1986-1987
Ciro Muro,SSC Napoli,1986-1987
Pietro Puzone,SSC Napoli,1986-1987
Alessandro Romano,SSC Napoli,1986-1987
Luciano Sola,SSC Napoli,1986-1987
Andrea Carnevale,SSC Napoli,1986-1987
Bruno Giordano,SSC Napoli,1986-1987
Domenico Penzo,SSC Napoli,1986-1987
Ottavio Bianchi,SSC Napoli,1986-1987
Raffaele Di Fusco,SSC Napoli,1987-1988
Claudio Garella,SSC Napoli,1987-1988
Giuseppe Taglialatela,SSC Napoli,1987-1988
Tebaldo Bigliardi,SSC Napoli,1987-1988
Giuseppe Bruscolotti,SSC Napoli,1987-1988
Ciro Ferrara,SSC Napoli,1987-1988
Moreno Ferrario,SSC Napoli,1987-1988
Massimo Filardi,SSC Napoli,1987-1988
Rosario Pergolizzi,SSC Napoli,1987-1988
Alessandro Renica,SSC Napoli,1987-1988
Francesco Romano,SSC Napoli,1987-1988
Salvatore Bagni,SSC Napoli,1987-1988
Fernando De Napoli,SSC Napoli,1987-1988
Giovanni Francini,SSC Napoli,1987-1988
Diego Maradona,SSC Napoli,1987-1988
Paolo Miano,SSC Napoli,1987-1988
Alessandro Romano,SSC Napoli,1987-1988
Luciano Sola,SSC Napoli,1987-1988
Careca,SSC Napoli,1987-1988
Andrea Carnevale,SSC Napoli,1987-1988
Bruno Giordano,SSC Napoli,1987-1988
Ottavio Bianchi,SSC Napoli,1987-1988
Raffaele Di Fusco,SSC Napoli,1988-1989
Guiliano Giuliani,SSC Napoli,1988-1989
Tebaldo Bigliardi,SSC Napoli,1988-1989
Antonio Carannante,SSC Napoli,1988-1989
Giancarlo Corradini,SSC Napoli,1988-1989
Giovanni Di Rocco,SSC Napoli,1988-1989
Ciro Ferrara,SSC Napoli,1988-1989
Massimo Filardi,SSC Napoli,1988-1989
Luca Fusi,SSC Napoli,1988-1989
Simone Giacchetta,SSC Napoli,1988-1989
Cosimo Portaluri,SSC Napoli,1988-1989
Alessandro Renica,SSC Napoli,1988-1989
Francesco Romano,SSC Napoli,1988-1989
Alemao,SSC Napoli,1988-1989
Antonio Bucciarelli,SSC Napoli,1988-1989
Massimo Crippa,SSC Napoli,1988-1989
Fernando De Napoli,SSC Napoli,1988-1989
Giovanni Francini,SSC Napoli,1988-1989
Diego Maradona,SSC Napoli,1988-1989
Careca,SSC Napoli,1988-1989
Andrea Carnevale,SSC Napoli,1988-1989
Marco Ferrante,SSC Napoli,1988-1989
Maurizio Neri,SSC Napoli,1988-1989
Ottavio Bianchi,SSC Napoli,1988-1989
Raffaele Di Fusco,SSC Napoli,1989-1990
Guiliano Giuliani,SSC Napoli,1989-1990
Marco Baroni,SSC Napoli,1989-1990
Tebaldo Bigliardi,SSC Napoli,1989-1990
Giancarlo Corradini,SSC Napoli,1989-1990
