player,team,season,type
Yohan Lacroix,Lille OSC,2007-2008,club
Gregory Malicki,Lille OSC,2007-2008,club
Alexandre Oukidja,Lille OSC,2007-2008,club
Tony Sylva,Lille OSC,2007-2008,club
Franck Beria,Lille OSC,2007-2008,club
Aurelien Chedjou,Lille OSC,2007-2008,club
Mathieu Debuchy,Lille OSC,2007-2008,club
Emerson,Lille OSC,2007-2008,club
Peter Franquart,Lille OSC,2007-2008,club
Badis Lebbihi,Lille OSC,2007-2008,club
Stephan Lichtsteiner,Lille OSC,2007-2008,club
Nicolas Plestan,Lille OSC,2007-2008,club
Adil Rami,Lille OSC,2007-2008,club
Gregory Tafforeau,Lille OSC,2007-2008,club
Jeremy Taravel,Lille OSC,2007-2008,club
Jerry Vandam,Lille OSC,2007-2008,club
Omar Benzerga,Lille OSC,2007-2008,club
Yohan Cabaye,Lille OSC,2007-2008,club
Stephane Dumont,Lille OSC,2007-2008,club
Henri Ewane Elong,Lille OSC,2007-2008,club
Jean Makoun,Lille OSC,2007-2008,club
Marko Maric,Lille OSC,2007-2008,club
Rio Mavuba,Lille OSC,2007-2008,club
Michel Bastos,Lille OSC,2007-2008,club
Ludovic Obraniak,Lille OSC,2007-2008,club
Samuel Robail,Lille OSC,2007-2008,club
Nicolas Fauvergue,Lille OSC,2007-2008,club
Pierre-Alain Frau,Lille OSC,2007-2008,club
Patrick Kluivert,Lille OSC,2007-2008,club
Cris Makiese,Lille OSC,2007-2008,club
Kevin Mirallas,Lille OSC,2007-2008,club
Luis Yanez,Lille OSC,2007-2008,club
Souleymane Youla,Lille OSC,2007-2008,club
Claude Puel,Lille OSC,2007-2008,club
Patrick Collot,Lille OSC,2007-2008,club
Jean-Pierre Mottet,Lille OSC,2007-2008,club
Ludovic Butelle,Lille OSC,2008-2009,club
Gregory Malicki,Lille OSC,2008-2009,club
Alexandre Oukidja,Lille OSC,2008-2009,club
Franck Beria,Lille OSC,2008-2009,club
Aurelien Chedjou,Lille OSC,2008-2009,club
Mathieu Debuchy,Lille OSC,2008-2009,club
Emerson,Lille OSC,2008-2009,club
Badis Lebbihi,Lille OSC,2008-2009,club
Nicolas Plestan,Lille OSC,2008-2009,club
Adil Rami,Lille OSC,2008-2009,club
Gregory Tafforeau,Lille OSC,2008-2009,club
Jerry Vandam,Lille OSC,2008-2009,club
Florent Balmont,Lille OSC,2008-2009,club
Yohan Cabaye,Lille OSC,2008-2009,club
Stephane Dumont,Lille OSC,2008-2009,club
Marko Maric,Lille OSC,2008-2009,club
Rio Mavuba,Lille OSC,2008-2009,club
Michel Bastos,Lille OSC,2008-2009,club
Ludovic Obraniak,Lille OSC,2008-2009,club
Yannis Salibur,Lille OSC,2008-2009,club
Cedric Baseya,Lille OSC,2008-2009,club
Nicolas Fauvergue,Lille OSC,2008-2009,club
Pierre-Alain Frau,Lille OSC,2008-2009,club
Emil Lyng,Lille OSC,2008-2009,club
Youssef Sofiane,Lille OSC,2008-2009,club
Tulio de Melo,Lille OSC,2008-2009,club
Robert Vittek,Lille OSC,2008-2009,club
Rudi Garcia,Lille OSC,2008-2009,club
Frederic Bompard,Lille OSC,2008-2009,club
Patrick Collot,Lille OSC,2008-2009,club
Jean-Pierre Mottet,Lille OSC,2008-2009,club
Ludovic Butelle,Lille OSC,2009-2010,club
Mickael Landreau,Lille OSC,2009-2010,club
Barel Mouko,Lille OSC,2009-2010,club
Alexandre Oukidja,Lille OSC,2009-2010,club
Franck Beria,Lille OSC,2009-2010,club
Aurelien Chedjou,Lille OSC,2009-2010,club
Mathieu Debuchy,Lille OSC,2009-2010,club
Emerson,Lille OSC,2009-2010,club
Nicolas Plestan,Lille OSC,2009-2010,club
Adil Rami,Lille OSC,2009-2010,club
Ricardo Costa,Lille OSC,2009-2010,club
Jonathan Rivierez,Lille OSC,2009-2010,club
Mathieu Sauvage,Lille OSC,2009-2010,club
Pape Souare,Lille OSC,2009-2010,club
Jerry Vandam,Lille OSC,2009-2010,club
Florent Balmont,Lille OSC,2009-2010,club
Yohan Cabaye,Lille OSC,2009-2010,club
Stephane Dumont,Lille OSC,2009-2010,club
Idrissa Gueye,Lille OSC,2009-2010,club
Rio Mavuba,Lille OSC,2009-2010,club
Ludovic Obraniak,Lille OSC,2009-2010,club
Yannis Salibur,Lille OSC,2009-2010,club
Arnaud Souquet,Lille OSC,2009-2010,club
Pierre-Emerick Aubameyang,Lille OSC,2009-2010,club
Pierre-Alain Frau,Lille OSC,2009-2010,club
Gervinho,Lille OSC,2009-2010,club
Larsen Toure,Lille OSC,2009-2010,club
Tulio de Melo,Lille OSC,2009-2010,club
Omar Wade,Lille OSC,2009-2010,club
Rudi Garcia,Lille OSC,2009-2010,club
Frederic Bompard,Lille OSC,2009-2010,club
Patrick Collot,Lille OSC,2009-2010,club
Jean-Pierre Mottet,Lille OSC,2009-2010,club
Mickael Landreau,Lille OSC,2010-2011,club
Barel Mouko,Lille OSC,2010-2011,club
