player,team,season
Jozsef Bozsik,Budapest Honved SE,1943-1944
Bela Egresi,Budapest Honved SE,1943-1944
Jozsef Meszaros,Budapest Honved SE,1943-1944
Ferenc Puskas,Budapest Honved SE,1943-1944
Pal Titkos,Budapest Honved SE,1943-1944
Jozsef Bozsik,Budapest Honved SE,1944-1945
Istvan Szalai,Budapest Honved SE,1944-1945
Andras Beres,Budapest Honved SE,1944-1945
Bela Egresi,Budapest Honved SE,1944-1945
Jozsef Meszaros,Budapest Honved SE,1944-1945
Stefano Nyers,Budapest Honved SE,1944-1945
Ferenc Puskas,Budapest Honved SE,1944-1945
Ferenc Puskas Sr.,Budapest Honved SE,1944-1945
Jozsef Bozsik,Budapest Honved SE,1945-1946
Istvan Szalai,Budapest Honved SE,1945-1946
Andras Beres,Budapest Honved SE,1945-1946
Jozsef Meszaros,Budapest Honved SE,1945-1946
Ferenc Puskas,Budapest Honved SE,1945-1946
Ferenc Puskas Sr.,Budapest Honved SE,1945-1946
Nandor Banyai,Budapest Honved SE,1946-1947
Jozsef Bozsik,Budapest Honved SE,1946-1947
Istvan Szalai,Budapest Honved SE,1946-1947
Andras Beres,Budapest Honved SE,1946-1947
Jozsef Meszaros,Budapest Honved SE,1946-1947
Ferenc Puskas,Budapest Honved SE,1946-1947
Ferenc Puskas Sr.,Budapest Honved SE,1946-1947
Laszlo Rakoczi,Budapest Honved SE,1947-1948
Nandor Banyai,Budapest Honved SE,1947-1948
Jozsef Bozsik,Budapest Honved SE,1947-1948
Andras Beres,Budapest Honved SE,1947-1948
Jozsef Meszaros,Budapest Honved SE,1947-1948
Ferenc Puskas,Budapest Honved SE,1947-1948
Bela Guttmann,Budapest Honved SE,1947-1948
Laszlo Rakoczi,Budapest Honved SE,1948-1949
Nandor Banyai,Budapest Honved SE,1948-1949
Jozsef Bozsik,Budapest Honved SE,1948-1949
Andras Beres,Budapest Honved SE,1948-1949
Ferenc Puskas,Budapest Honved SE,1948-1949
Ferenc Puskas Sr.,Budapest Honved SE,1948-1949
Sandor Rusza,Budapest Honved SE,1949-1950
Laszlo Rakoczi,Budapest Honved SE,1949-1950
Nandor Banyai,Budapest Honved SE,1949-1950
Jozsef Bozsik,Budapest Honved SE,1949-1950
Ferenc Puskas,Budapest Honved SE,1949-1950
Ferenc Puskas Sr.,Budapest Honved SE,1949-1950
Gyula Grosics,Budapest Honved SE,1950-1951
Laszlo Rakoczi,Budapest Honved SE,1950-1951
Ferenc Toth,Budapest Honved SE,1950-1951
Nandor Banyai,Budapest Honved SE,1950-1951
