player,team,season
Gerson dos Santos,Botafogo - RJ,1953-1954
Nilton Santos,Botafogo - RJ,1953-1954
Dino da Costa,Botafogo - RJ,1953-1954
Carlyle,Botafogo - RJ,1953-1954
Garrincha,Botafogo - RJ,1953-1954
Quarentinha,Botafogo - RJ,1953-1954
Gerson dos Santos,Botafogo - RJ,1954-1955
Nilton Santos,Botafogo - RJ,1954-1955
Bauer,Botafogo - RJ,1954-1955
Dino da Costa,Botafogo - RJ,1954-1955
Danilo Alvim,Botafogo - RJ,1954-1955
Garrincha,Botafogo - RJ,1954-1955
Quarentinha,Botafogo - RJ,1954-1955
Nilton Santos,Botafogo - RJ,1955-1956
Danilo Alvim,Botafogo - RJ,1955-1956
Orlando Pingo de Ouro,Botafogo - RJ,1955-1956
Garrincha,Botafogo - RJ,1955-1956
Rodrigues,Botafogo - RJ,1955-1956
Nelinho,Botafogo - RJ,1956-1957
Nilton Santos,Botafogo - RJ,1956-1957
Didi,Botafogo - RJ,1956-1957
Garrincha,Botafogo - RJ,1956-1957
Paulo Valentim,Botafogo - RJ,1956-1957
Quarentinha,Botafogo - RJ,1956-1957
Nelinho,Botafogo - RJ,1957-1958
Nilton Santos,Botafogo - RJ,1957-1958
Oswaldo Sampaio,Botafogo - RJ,1957-1958
Servilio,Botafogo - RJ,1957-1958
Didi,Botafogo - RJ,1957-1958
Mario Zagallo,Botafogo - RJ,1957-1958
Bruno Siciliano,Botafogo - RJ,1957-1958
Garrincha,Botafogo - RJ,1957-1958
Paulo Valentim,Botafogo - RJ,1957-1958
Quarentinha,Botafogo - RJ,1957-1958
Manga,Botafogo - RJ,1958-1959
Nelinho,Botafogo - RJ,1958-1959
Nilton Santos,Botafogo - RJ,1958-1959
Oswaldo Sampaio,Botafogo - RJ,1958-1959
Mario Zagallo,Botafogo - RJ,1958-1959
Amarildo,Botafogo - RJ,1958-1959
Bruno Siciliano,Botafogo - RJ,1958-1959
Garrincha,Botafogo - RJ,1958-1959
Paulo Valentim,Botafogo - RJ,1958-1959
Quarentinha,Botafogo - RJ,1958-1959
Manga,Botafogo - RJ,1959-1960
Nelinho,Botafogo - RJ,1959-1960
Nilton Santos,Botafogo - RJ,1959-1960
Oswaldo Sampaio,Botafogo - RJ,1959-1960
Mario Zagallo,Botafogo - RJ,1959-1960
Tiao Macale,Botafogo - RJ,1959-1960
Amarildo,Botafogo - RJ,1959-1960
Bruno Siciliano,Botafogo - RJ,1959-1960
China,Botafogo - RJ,1959-1960
Garrincha,Botafogo - RJ,1959-1960
Jairzinho,Botafogo - RJ,1959-1960
Paulo Valentim,Botafogo - RJ,1959-1960
Quarentinha,Botafogo - RJ,1959-1960
Paulo Amaral,Botafogo - RJ,1959-1960
