player,team,season,type
Daniel Azevedo,None,2016-2017,club
Fabio Duarte,None,2016-2017,club
Diogo Calila,None,2016-2017,club
Jorge Silva,None,2016-2017,club
Jorginho,None,2016-2017,club
Branimir Kalaica,None,2016-2017,club
Nuca,None,2016-2017,club
Godfried Owuso,None,2016-2017,club
Pedro Alvaro,None,2016-2017,club
Ricardo Mangas,None,2016-2017,club
Rodrigo Borges,None,2016-2017,club
Ruben Dias,None,2016-2017,club
Bruno Lourenco,None,2016-2017,club
Diogo Mendes,None,2016-2017,club
Diogo Pinto,None,2016-2017,club
Filipe Soares,None,2016-2017,club
Florentino Luis,None,2016-2017,club
Gedson Fernandes,None,2016-2017,club
Jorge Pereira,None,2016-2017,club
Buta,None,2016-2017,club
David Tavares,None,2016-2017,club
Diogo Goncalves,None,2016-2017,club
Jose Gomes,None,2016-2017,club
Jota,None,2016-2017,club
Kenedy Co,None,2016-2017,club
Przemyslaw Macierzynski,None,2016-2017,club
Mesaque Dju,None,2016-2017,club
Abduramane Sani,None,2016-2017,club
Tiago Dias,None,2016-2017,club
Vinicius Jau,None,2016-2017,club
Zidane Banjaqui,None,2016-2017,club
Joao Tralhao,None,2016-2017,club
Celton Biai,None,2017-2018,club
Daniel Azevedo,None,2017-2018,club
Diogo Garrido,None,2017-2018,club
C.J. dos Santos,None,2017-2018,club
Alexandre Penetra,None,2017-2018,club
Antonio Ribeiro,None,2017-2018,club
Daniel Martins,None,2017-2018,club
Goncalo Loureiro,None,2017-2018,club
Jorginho,None,2017-2018,club
Luis Pinheiro,None,2017-2018,club
Paolo Medina,None,2017-2018,club
Miguel Nobrega,None,2017-2018,club
Nuno Tavares,None,2017-2018,club
Godfried Owuso,None,2017-2018,club
Pedro Alvaro,None,2017-2018,club
Pedro Ganchas,None,2017-2018,club
Diego Batista,None,2017-2018,club
Diogo Capitao,None,2017-2018,club
Diogo Mendes,None,2017-2018,club
Diogo Pinto,None,2017-2018,club
Filipe Soares,None,2017-2018,club
Florentino Luis,None,2017-2018,club
Gedson Fernandes,None,2017-2018,club
Nuno Santos,None,2017-2018,club
Tiago Dantas,None,2017-2018,club
Ilija Vukotic,None,2017-2018,club
Kevin Csoboth,None,2017-2018,club
David Tavares,None,2017-2018,club
Edi Semedo,None,2017-2018,club
Hugo Nunes,None,2017-2018,club
Jose Gomes,None,2017-2018,club
Jota,None,2017-2018,club
Luis Lopes,None,2017-2018,club
Marko Martinovic,None,2017-2018,club
Mesaque Dju,None,2017-2018,club
Rodrigo Conceicao,None,2017-2018,club
Umaro Embalo,None,2017-2018,club
Joao Tralhao,None,2017-2018,club
Andre Ferreira,SL Benfica B,2016-2017,club
Fabio Duarte,SL Benfica B,2016-2017,club
Ivan Zlobin,SL Benfica B,2016-2017,club
Ferro,SL Benfica B,2016-2017,club
Helder Balde,SL Benfica B,2016-2017,club
Joao Escoval,SL Benfica B,2016-2017,club
Jorginho,SL Benfica B,2016-2017,club
Branimir Kalaica,SL Benfica B,2016-2017,club
Marcelo Hermes,SL Benfica B,2016-2017,club
Nuca,SL Benfica B,2016-2017,club
Pedro Alvaro,SL Benfica B,2016-2017,club
Pedro Amaral,SL Benfica B,2016-2017,club
Simon Ramirez,SL Benfica B,2016-2017,club
Ruben Dias,SL Benfica B,2016-2017,club
Alexis Scholl,SL Benfica B,2016-2017,club
Yuri Ribeiro,SL Benfica B,2016-2017,club
Diogo Mendes,SL Benfica B,2016-2017,club
