player,team,season
Ronnie Boomgaard,AFC Ajax,1964-1965
Bertus Hoogerman,AFC Ajax,1964-1965
Piet Paternotte,AFC Ajax,1964-1965
Gunther de Haan,AFC Ajax,1964-1965
Barry Hulshoff,AFC Ajax,1964-1965
Ton Pronk,AFC Ajax,1964-1965
Kees Ruiter,AFC Ajax,1964-1965
Wim Suurbier,AFC Ajax,1964-1965
Ruud Suurendonk,AFC Ajax,1964-1965
Henk Tijm,AFC Ajax,1964-1965
Theo van Duivenbode,AFC Ajax,1964-1965
Ad Visser,AFC Ajax,1964-1965
Johan Cruyff,AFC Ajax,1964-1965
Toon den Boer,AFC Ajax,1964-1965
Bennie Muller,AFC Ajax,1964-1965
Werner Schaaphok,AFC Ajax,1964-1965
Frits Soetekouw,AFC Ajax,1964-1965
Sjaak Swart,AFC Ajax,1964-1965
Piet Keizer,AFC Ajax,1964-1965
Klaas Nuninga,AFC Ajax,1964-1965
Peet Petersen,AFC Ajax,1964-1965
Siem Tijm,AFC Ajax,1964-1965
Vic Buckingham,AFC Ajax,1964-1965
Rinus Michels,AFC Ajax,1964-1965
Gert Bals,AFC Ajax,1965-1966
Ronnie Boomgaard,AFC Ajax,1965-1966
Gunther de Haan,AFC Ajax,1965-1966
Barry Hulshoff,AFC Ajax,1965-1966
Han Meijer,AFC Ajax,1965-1966
Ton Pronk,AFC Ajax,1965-1966
Wim Suurbier,AFC Ajax,1965-1966
Ruud Suurendonk,AFC Ajax,1965-1966
Theo van Duivenbode,AFC Ajax,1965-1966
Johan Cruyff,AFC Ajax,1965-1966
Bennie Muller,AFC Ajax,1965-1966
Frits Soetekouw,AFC Ajax,1965-1966
Sjaak Swart,AFC Ajax,1965-1966
Arie van Eijden,AFC Ajax,1965-1966
Cornelis de Wolf,AFC Ajax,1965-1966
Henk Groot,AFC Ajax,1965-1966
Piet Hoeben,AFC Ajax,1965-1966
Piet Keizer,AFC Ajax,1965-1966
Klaas Nuninga,AFC Ajax,1965-1966
Co Prins,AFC Ajax,1965-1966
Arnold van Haren,AFC Ajax,1965-1966
Rinus Michels,AFC Ajax,1965-1966
Gert Bals,AFC Ajax,1966-1967
Ronnie Boomgaard,AFC Ajax,1966-1967
Gunther de Haan,AFC Ajax,1966-1967
Barry Hulshoff,AFC Ajax,1966-1967
Ton Pronk,AFC Ajax,1966-1967
Wim Suurbier,AFC Ajax,1966-1967
Ruud Suurendonk,AFC Ajax,1966-1967
Theo van Duivenbode,AFC Ajax,1966-1967
Velibor Vasovic,AFC Ajax,1966-1967
Ton Weijmer,AFC Ajax,1966-1967
Johan Cruyff,AFC Ajax,1966-1967
Bennie Muller,AFC Ajax,1966-1967
Frits Soetekouw,AFC Ajax,1966-1967
Sjaak Swart,AFC Ajax,1966-1967
Cornelis de Wolf,AFC Ajax,1966-1967
Henk Groot,AFC Ajax,1966-1967
Piet Keizer,AFC Ajax,1966-1967
Klaas Nuninga,AFC Ajax,1966-1967
Rinus Michels,AFC Ajax,1966-1967
Gert Bals,AFC Ajax,1967-1968
Heinz Stuy,AFC Ajax,1967-1968
Gunther de Haan,AFC Ajax,1967-1968
Barry Hulshoff,AFC Ajax,1967-1968
