player,team,season,type
Javi Ruiz,FC Barcelona B,2003-2004,club
Ruben,FC Barcelona B,2003-2004,club
Dani Fernandez,FC Barcelona B,2003-2004,club
Fran Gonzalez,FC Barcelona B,2003-2004,club
Llamas,FC Barcelona B,2003-2004,club
Martos,FC Barcelona B,2003-2004,club
Oleguer,FC Barcelona B,2003-2004,club
Pena,FC Barcelona B,2003-2004,club
Pique,FC Barcelona B,2003-2004,club
Tiago Calvano,FC Barcelona B,2003-2004,club
Alberto Manga,FC Barcelona B,2003-2004,club
Andreu,FC Barcelona B,2003-2004,club
Arnau Riera,FC Barcelona B,2003-2004,club
Carroza,FC Barcelona B,2003-2004,club
David Garcia,FC Barcelona B,2003-2004,club
Ros,FC Barcelona B,2003-2004,club
Vates,FC Barcelona B,2003-2004,club
Verdu,FC Barcelona B,2003-2004,club
Cristian,FC Barcelona B,2003-2004,club
Felipe Sanchon,FC Barcelona B,2003-2004,club
Javito,FC Barcelona B,2003-2004,club
Manel Exposito,FC Barcelona B,2003-2004,club
Santamaria,FC Barcelona B,2003-2004,club
Sergio Garcia,FC Barcelona B,2003-2004,club
Gratacos,FC Barcelona B,2003-2004,club
Guillermo Hoyos,FC Barcelona B,2003-2004,club
Javi Ruiz,FC Barcelona B,2004-2005,club
Ruben,FC Barcelona B,2004-2005,club
Urko,FC Barcelona B,2004-2005,club
Dani Fernandez,FC Barcelona B,2004-2005,club
Fragoso,FC Barcelona B,2004-2005,club
Fran Gonzalez,FC Barcelona B,2004-2005,club
Llamas,FC Barcelona B,2004-2005,club
Martos,FC Barcelona B,2004-2005,club
Mora,FC Barcelona B,2004-2005,club
Pena,FC Barcelona B,2004-2005,club
Rodri,FC Barcelona B,2004-2005,club
Tiago Calvano,FC Barcelona B,2004-2005,club
Andreu,FC Barcelona B,2004-2005,club
Arnau Riera,FC Barcelona B,2004-2005,club
Jordi Gomez,FC Barcelona B,2004-2005,club
Verdu,FC Barcelona B,2004-2005,club
Alfi Conteh-Lacalle,FC Barcelona B,2004-2005,club
Cristian,FC Barcelona B,2004-2005,club
Santiago Fernandez,FC Barcelona B,2004-2005,club
Javito,FC Barcelona B,2004-2005,club
Lanzarote,FC Barcelona B,2004-2005,club
Lolo,FC Barcelona B,2004-2005,club
Manel Exposito,FC Barcelona B,2004-2005,club
Paco Montanes,FC Barcelona B,2004-2005,club
Gratacos,FC Barcelona B,2004-2005,club
Guillermo Hoyos,FC Barcelona B,2004-2005,club
Jorquera,FC Barcelona,2005-2006,club
Ruben,FC Barcelona,2005-2006,club
Victor Valdes,FC Barcelona,2005-2006,club
Belletti,FC Barcelona,2005-2006,club
Edmilson,FC Barcelona,2005-2006,club
Rafael Marquez,FC Barcelona,2005-2006,club
Martos,FC Barcelona,2005-2006,club
Oleguer,FC Barcelona,2005-2006,club
Olmo,FC Barcelona,2005-2006,club
Pena,FC Barcelona,2005-2006,club
Puyol,FC Barcelona,2005-2006,club
Rodri,FC Barcelona,2005-2006,club
Sylvinho,FC Barcelona,2005-2006,club
Giovanni van Bronckhorst,FC Barcelona,2005-2006,club
Deco,FC Barcelona,2005-2006,club
Gabri,FC Barcelona,2005-2006,club
Iniesta,FC Barcelona,2005-2006,club
Jordi Gomez,FC Barcelona,2005-2006,club
Orlandi,FC Barcelona,2005-2006,club
Pitu,FC Barcelona,2005-2006,club
Ramon Maso,FC Barcelona,2005-2006,club
Ludovic Sylvestre,FC Barcelona,2005-2006,club
Thiago Motta,FC Barcelona,2005-2006,club
Mark van Bommel,FC Barcelona,2005-2006,club
Xavi,FC Barcelona,2005-2006,club
Cristian,FC Barcelona,2005-2006,club
Samuel Eto'o,FC Barcelona,2005-2006,club
Ezquerro,FC Barcelona,2005-2006,club
Ludovic Giuly,FC Barcelona,2005-2006,club
Henrik Larsson,FC Barcelona,2005-2006,club
Maxi Lopez,FC Barcelona,2005-2006,club
Paco Montanes,FC Barcelona,2005-2006,club
Ronaldinho,FC Barcelona,2005-2006,club
Frank Rijkaard,FC Barcelona,2005-2006,club
Eusebio Sacristan,FC Barcelona,2005-2006,club
Henk ten Cate,FC Barcelona,2005-2006,club
Unzue,FC Barcelona,2005-2006,club
Jorquera,FC Barcelona,2006-2007,club
Ruben,FC Barcelona,2006-2007,club
Victor Valdes,FC Barcelona,2006-2007,club
Belletti,FC Barcelona,2006-2007,club
