player,team,season
Hans Galje,AFC Ajax,1981-1982
Piet Schrijvers,AFC Ajax,1981-1982
Sjaak Storm,AFC Ajax,1981-1982
Peter Boeve,AFC Ajax,1981-1982
Keje Molenaar,AFC Ajax,1981-1982
Edo Ophof,AFC Ajax,1981-1982
Frank Rijkaard,AFC Ajax,1981-1982
Sonny Silooy,AFC Ajax,1981-1982
Dennis van Wijk,AFC Ajax,1981-1982
Piet Wijnberg,AFC Ajax,1981-1982
Johan Cruyff,AFC Ajax,1981-1982
Wim Jansen,AFC Ajax,1981-1982
Soren Lerby,AFC Ajax,1981-1982
Jesper Olsen,AFC Ajax,1981-1982
Dick Schoenaker,AFC Ajax,1981-1982
Rini van Roon,AFC Ajax,1981-1982
Gerald Vanenburg,AFC Ajax,1981-1982
Martin Wiggemansen,AFC Ajax,1981-1982
Sten Ziegler,AFC Ajax,1981-1982
Piet Hamberg,AFC Ajax,1981-1982
Wim Kieft,AFC Ajax,1981-1982
Tscheu La Ling,AFC Ajax,1981-1982
John van 't Schip,AFC Ajax,1981-1982
Marco van Basten,AFC Ajax,1981-1982
Kurt Linder,AFC Ajax,1981-1982
Aad de Mos,AFC Ajax,1981-1982
Hans Galje,AFC Ajax,1982-1983
Piet Schrijvers,AFC Ajax,1982-1983
Peter Boeve,AFC Ajax,1982-1983
Keje Molenaar,AFC Ajax,1982-1983
Edo Ophof,AFC Ajax,1982-1983
Rene Panhuis,AFC Ajax,1982-1983
Frank Rijkaard,AFC Ajax,1982-1983
Sonny Silooy,AFC Ajax,1982-1983
Leo van Veen,AFC Ajax,1982-1983
Edwin Bakker,AFC Ajax,1982-1983
Johan Cruyff,AFC Ajax,1982-1983
Edwin Godee,AFC Ajax,1982-1983
Soren Lerby,AFC Ajax,1982-1983
Jan Molby,AFC Ajax,1982-1983
Jesper Olsen,AFC Ajax,1982-1983
Dick Schoenaker,AFC Ajax,1982-1983
Gerald Vanenburg,AFC Ajax,1982-1983
Piet Hamberg,AFC Ajax,1982-1983
Wim Kieft,AFC Ajax,1982-1983
John van 't Schip,AFC Ajax,1982-1983
Marco van Basten,AFC Ajax,1982-1983
Aad de Mos,AFC Ajax,1982-1983
Hans Galje,AFC Ajax,1983-1984
Stanley Menzo,AFC Ajax,1983-1984
Sjaak Storm,AFC Ajax,1983-1984
Peter Boeve,AFC Ajax,1983-1984
Winnie Haatrecht,AFC Ajax,1983-1984
Ronald Koeman,AFC Ajax,1983-1984
Keje Molenaar,AFC Ajax,1983-1984
Edo Ophof,AFC Ajax,1983-1984
Rene Panhuis,AFC Ajax,1983-1984
Frank Rijkaard,AFC Ajax,1983-1984
