player,team,season
Patrick Bernhard,AS Nancy,1972-1973
Gilbert Conrath,AS Nancy,1972-1973
Jean-Michel Fouche,AS Nancy,1972-1973
Gerard Becker,AS Nancy,1972-1973
Carlos Curbelo,AS Nancy,1972-1973
Roger Formica,AS Nancy,1972-1973
Roger Lemerre,AS Nancy,1972-1973
Jose Lopez,AS Nancy,1972-1973
Jean Palka,AS Nancy,1972-1973
Jean-Pierre Raczynski,AS Nancy,1972-1973
Antoine Redin,AS Nancy,1972-1973
Rene Woltrager,AS Nancy,1972-1973
Jean-Paul Chenevotot,AS Nancy,1972-1973
Christian Chenu,AS Nancy,1972-1973
Rolland Ehrhardt,AS Nancy,1972-1973
Charles Gasparini,AS Nancy,1972-1973
Yves Herbet,AS Nancy,1972-1973
Michel Platini,AS Nancy,1972-1973
Patrick Precheur,AS Nancy,1972-1973
Patrice Vicq,AS Nancy,1972-1973
Raul Castronovo,AS Nancy,1972-1973
Eduardo Flores,AS Nancy,1972-1973
Antoine Kuszowski,AS Nancy,1972-1973
Patrick Bernhard,AS Nancy,1973-1974
Jean-Michel Fouche,AS Nancy,1973-1974
Denis Bauda,AS Nancy,1973-1974
Carlos Curbelo,AS Nancy,1973-1974
Jose Lopez,AS Nancy,1973-1974
Jean Palka,AS Nancy,1973-1974
Jean-Pierre Raczynski,AS Nancy,1973-1974
Antoine Redin,AS Nancy,1973-1974
Jean-Marie Villeminey,AS Nancy,1973-1974
Bruno Bini,AS Nancy,1973-1974
Jean-Paul Chenevotot,AS Nancy,1973-1974
Christian Chenu,AS Nancy,1973-1974
Yves Herbet,AS Nancy,1973-1974
Michel Lanini,AS Nancy,1973-1974
Michel Platini,AS Nancy,1973-1974
Patrick Precheur,AS Nancy,1973-1974
Patrice Vicq,AS Nancy,1973-1974
Raul Castronovo,AS Nancy,1973-1974
Ange Di Caro,AS Nancy,1973-1974
Eduardo Flores,AS Nancy,1973-1974
Olivier Rouyer,AS Nancy,1973-1974
Patrick Bernhard,AS Nancy,1974-1975
Jean-Michel Moutier,AS Nancy,1974-1975
Carlos Curbelo,AS Nancy,1974-1975
Claude Deplanche,AS Nancy,1974-1975
Jose Lopez,AS Nancy,1974-1975
Herve Mariot,AS Nancy,1974-1975
