player,team,season,type
Fabio Costa,Santos FC,2009-2010,club
Felipe Garcia,Santos FC,2009-2010,club
Rafael,Santos FC,2009-2010,club
Vladimir,Santos FC,2009-2010,club
Alex Sandro,Santos FC,2009-2010,club
Bruno Aguiar,Santos FC,2009-2010,club
Bruno Rodrigo,Santos FC,2009-2010,club
Diego Monar,Santos FC,2009-2010,club
Durval,Santos FC,2009-2010,club
Edu Dracena,Santos FC,2009-2010,club
George Lucas,Santos FC,2009-2010,club
Leo,Santos FC,2009-2010,club
Maranhao,Santos FC,2009-2010,club
Para,Santos FC,2009-2010,club
Rafael Caldeira,Santos FC,2009-2010,club
Vinicius,Santos FC,2009-2010,club
Alan Patrick,Santos FC,2009-2010,club
Alan Santos,Santos FC,2009-2010,club
Arouca,Santos FC,2009-2010,club
Breitner,Santos FC,2009-2010,club
Ganso,Santos FC,2009-2010,club
Hudson,Santos FC,2009-2010,club
Jefferson,Santos FC,2009-2010,club
Madson,Santos FC,2009-2010,club
Marquinhos,Santos FC,2009-2010,club
Roberto Brum,Santos FC,2009-2010,club
Rodriguinho,Santos FC,2009-2010,club
Wesley,Santos FC,2009-2010,club
Zezinho,Santos FC,2009-2010,club
Andre,Santos FC,2009-2010,club
Giovanni,Santos FC,2009-2010,club
Marcel,Santos FC,2009-2010,club
Robinho,Santos FC,2009-2010,club
Ze Eduardo,Santos FC,2009-2010,club
Dorival Junior,Santos FC,2009-2010,club
Aranha,Santos FC,2010-2011,club
Felipe Garcia,Santos FC,2010-2011,club
Rafael,Santos FC,2010-2011,club
Vladimir,Santos FC,2010-2011,club
Alex Sandro,Santos FC,2010-2011,club
Bruno Aguiar,Santos FC,2010-2011,club
Bruno Rodrigo,Santos FC,2010-2011,club
Crystian,Santos FC,2010-2011,club
Danilo,Santos FC,2010-2011,club
Diego Monar,Santos FC,2010-2011,club
Durval,Santos FC,2010-2011,club
Edu Dracena,Santos FC,2010-2011,club
Jonathan,Santos FC,2010-2011,club
Leo,Santos FC,2010-2011,club
Para,Santos FC,2010-2011,club
Rafael Caldeira,Santos FC,2010-2011,club
Vinicius,Santos FC,2010-2011,club
Walace,Santos FC,2010-2011,club
Wesley Santos,Santos FC,2010-2011,club
Adriano,Santos FC,2010-2011,club
Alan Patrick,Santos FC,2010-2011,club
Alan Santos,Santos FC,2010-2011,club
Anderson Carvalho,Santos FC,2010-2011,club
Arouca,Santos FC,2010-2011,club
Charles,Santos FC,2010-2011,club
Elano,Santos FC,2010-2011,club
Elivelton,Santos FC,2010-2011,club
Felipe Anderson,Santos FC,2010-2011,club
Ganso,Santos FC,2010-2011,club
Rodrigo Possebon,Santos FC,2010-2011,club
Roger Gaucho,Santos FC,2010-2011,club
Borges,Santos FC,2010-2011,club
Diogo,Santos FC,2010-2011,club
Keirrison,Santos FC,2010-2011,club
Maikon Leite,Santos FC,2010-2011,club
Renan Mota,Santos FC,2010-2011,club
Rychely,Santos FC,2010-2011,club
Tiago Alves,Santos FC,2010-2011,club
Ze Eduardo,Santos FC,2010-2011,club
Muricy Ramalho,Santos FC,2010-2011,club
Aranha,Santos FC,2011-2012,club
Gabriel,Santos FC,2011-2012,club
Rafael,Santos FC,2011-2012,club
Vladimir,Santos FC,2011-2012,club
Bruno Rodrigo,Santos FC,2011-2012,club
Crystian,Santos FC,2011-2012,club
David Braz,Santos FC,2011-2012,club
Douglas,Santos FC,2011-2012,club
Durval,Santos FC,2011-2012,club
Edu Dracena,Santos FC,2011-2012,club
Emerson,Santos FC,2011-2012,club
Ewerton Pascoa,Santos FC,2011-2012,club
Jorge Fucile,Santos FC,2011-2012,club
Gustavo Henrique,Santos FC,2011-2012,club
Juan,Santos FC,2011-2012,club
Leo,Santos FC,2011-2012,club
Maranhao,Santos FC,2011-2012,club
Paulo Henrique,Santos FC,2011-2012,club
Rafael Galhardo,Santos FC,2011-2012,club
Vinicius,Santos FC,2011-2012,club
Walace,Santos FC,2011-2012,club
Wesley Santos,Santos FC,2011-2012,club
Adriano,Santos FC,2011-2012,club
Alan Santos,Santos FC,2011-2012,club
Alison,Santos FC,2011-2012,club
Anderson Carvalho,Santos FC,2011-2012,club
Arouca,Santos FC,2011-2012,club
Bernardo,Santos FC,2011-2012,club
Edson,Santos FC,2011-2012,club
Elano,Santos FC,2011-2012,club
Elivelton,Santos FC,2011-2012,club
Felipe Anderson,Santos FC,2011-2012,club
Ganso,Santos FC,2011-2012,club
Gerson Magrao,Santos FC,2011-2012,club
Henrique,Santos FC,2011-2012,club
Leandrinho,Santos FC,2011-2012,club
Pedro Castro,Santos FC,2011-2012,club
Alan Kardec,Santos FC,2011-2012,club
Borges,Santos FC,2011-2012,club
Dimba,Santos FC,2011-2012,club
Geuvanio,Santos FC,2011-2012,club
Renan Mota,Santos FC,2011-2012,club
Wason Renteria,Santos FC,2011-2012,club
Tiago Luis,Santos FC,2011-2012,club
Victor Andrade,Santos FC,2011-2012,club
Ze Roberto,Santos FC,2011-2012,club
Muricy Ramalho,Santos FC,2011-2012,club
Aranha,Santos FC,2012-2013,club
Gabriel,Santos FC,2012-2013,club
Rafael,Santos FC,2012-2013,club
Vladimir,Santos FC,2012-2013,club
Bruno Peres,Santos FC,2012-2013,club
Douglas,Santos FC,2012-2013,club
Durval,Santos FC,2012-2013,club
Edu Dracena,Santos FC,2012-2013,club
Emerson,Santos FC,2012-2013,club
Guilherme Santos,Santos FC,2012-2013,club
Gustavo Henrique,Santos FC,2012-2013,club
Leo,Santos FC,2012-2013,club
Neto,Santos FC,2012-2013,club
Paulo Henrique,Santos FC,2012-2013,club
Rafael Galhardo,Santos FC,2012-2013,club
Walace,Santos FC,2012-2013,club
Alan Santos,Santos FC,2012-2013,club
Alison,Santos FC,2012-2013,club
Arouca,Santos FC,2012-2013,club
Cicero,Santos FC,2012-2013,club
Felipe Anderson,Santos FC,2012-2013,club
Gerson Magrao,Santos FC,2012-2013,club
Joao Pedro,Santos FC,2012-2013,club
Leandrinho,Santos FC,2012-2013,club
Leo Cittadini,Santos FC,2012-2013,club
Marcos Assuncao,Santos FC,2012-2013,club
Walter Montillo,Santos FC,2012-2013,club
Pedro Castro,Santos FC,2012-2013,club
Rene Junior,Santos FC,2012-2013,club
Patricio Rodriguez,Santos FC,2012-2013,club
Gabriel Barbosa,Santos FC,2012-2013,club
Geuvanio,Santos FC,2012-2013,club
Giva,Santos FC,2012-2013,club
Henrique Dourado,Santos FC,2012-2013,club
