player,team,season,type
Sega Coulibaly,None,2013-2014,club
Maxime Fleury,None,2013-2014,club
Julien Stephane,None,2013-2014,club
Sega Coulibaly,None,2014-2015,club
Jeremy Gelin,None,2014-2015,club
Gerzino Nyamsi,None,2014-2015,club
Yan Valery,None,2014-2015,club
Nicolas Janvier,None,2014-2015,club
Denis Poha,None,2014-2015,club
Sebastien Salles-Lamonge,None,2014-2015,club
James Lea Siliki,None,2014-2015,club
Julien Stephane,None,2014-2015,club
Maxime Pattier,Stade Rennes (CFA),2014-2015,club
Sega Coulibaly,Stade Rennes (CFA),2014-2015,club
Namakoro Diallo,Stade Rennes (CFA),2014-2015,club
Aboubacar Magnora,Stade Rennes (CFA),2014-2015,club
Gerzino Nyamsi,Stade Rennes (CFA),2014-2015,club
Ahmad Allee,Stade Rennes (CFA),2014-2015,club
Maxime Etuin,Stade Rennes (CFA),2014-2015,club
Arthur Njo Lea,Stade Rennes (CFA),2014-2015,club
Maxime Fleury,Stade Rennes (CFA),2014-2015,club
Ambroise Gboho,Stade Rennes (CFA),2014-2015,club
Alseny Kourouma Paulao,Stade Rennes (CFA),2014-2015,club
James Lea Siliki,Stade Rennes (CFA),2014-2015,club
Abdoulaye Sane,Stade Rennes (CFA),2014-2015,club
Maxime Pattier,Stade Rennes (CFA),2015-2016,club
Sega Coulibaly,Stade Rennes (CFA),2015-2016,club
Namakoro Diallo,Stade Rennes (CFA),2015-2016,club
Jeremy Gelin,Stade Rennes (CFA),2015-2016,club
Aboubacar Magnora,Stade Rennes (CFA),2015-2016,club
Gerzino Nyamsi,Stade Rennes (CFA),2015-2016,club
Ahmad Allee,Stade Rennes (CFA),2015-2016,club
Nicolas Janvier,Stade Rennes (CFA),2015-2016,club
Sabri Toufiqui,Stade Rennes (CFA),2015-2016,club
Adama Diakhaby,Stade Rennes (CFA),2015-2016,club
Maxime Fleury,Stade Rennes (CFA),2015-2016,club
Ambroise Gboho,Stade Rennes (CFA),2015-2016,club
James Lea Siliki,Stade Rennes (CFA),2015-2016,club
Abdoulaye Sane,Stade Rennes (CFA),2015-2016,club
Julien Stephane,Stade Rennes (CFA),2015-2016,club
Benoit Costil,Stade Rennes,2015-2016,club
Abdoulaye Diallo,Stade Rennes,2015-2016,club
Edvinas Gertmonas,Stade Rennes,2015-2016,club
Olivier Sorin,Stade Rennes,2015-2016,club
Sylvain Armand,Stade Rennes,2015-2016,club
Ludovic Baal,Stade Rennes,2015-2016,club
Dimitri Cavare,Stade Rennes,2015-2016,club
Sega Coulibaly,Stade Rennes,2015-2016,club
Romain Danze,Stade Rennes,2015-2016,club
Fallou Diagne,Stade Rennes,2015-2016,club
Jeremy Gelin,Stade Rennes,2015-2016,club
Joris Gnagnon,Stade Rennes,2015-2016,club
Cheikh M'Bengue,Stade Rennes,2015-2016,club
Mexer,Stade Rennes,2015-2016,club
Steven Moreira,Stade Rennes,2015-2016,club
Pedro Mendes,Stade Rennes,2015-2016,club
Mehdi Zeffane,Stade Rennes,2015-2016,club
Benjamin Andre,Stade Rennes,2015-2016,club
Jeremie Boga,Stade Rennes,2015-2016,club
Gelson Fernandes,Stade Rennes,2015-2016,club
Yoann Gourcuff,Stade Rennes,2015-2016,club
Nicolas Janvier,Stade Rennes,2015-2016,club
Paul-Georges Ntep,Stade Rennes,2015-2016,club
Denis Poha,Stade Rennes,2015-2016,club
Sebastien Salles-Lamonge,Stade Rennes,2015-2016,club
Yacouba Sylla,Stade Rennes,2015-2016,club
Kermit Erasmus,Stade Rennes,2015-2016,club
Kamil Grosicki,Stade Rennes,2015-2016,club
Pedro Henrique,Stade Rennes,2015-2016,club
Giovanni Sio,Stade Rennes,2015-2016,club
Rolland Courbis,Stade Rennes,2015-2016,club
Michel Troin,Stade Rennes,2015-2016,club
Christophe Revel,Stade Rennes,2015-2016,club
Hendrik Bonmann,Borussia Dortmund,2016-2017,club
Roman Burki,Borussia Dortmund,2016-2017,club
Roman Weidenfeller,Borussia Dortmund,2016-2017,club
Bartra,Borussia Dortmund,2016-2017,club
Sven Bender,Borussia Dortmund,2016-2017,club
Erik Durm,Borussia Dortmund,2016-2017,club
Matthias Ginter,Borussia Dortmund,2016-2017,club
Sokratis Papastathopoulos,Borussia Dortmund,2016-2017,club
Joo-ho Park,Borussia Dortmund,2016-2017,club
Lukasz Piszczek,Borussia Dortmund,2016-2017,club
Marcel Schmelzer,Borussia Dortmund,2016-2017,club
Dzenis Burnic,Borussia Dortmund,2016-2017,club
Gonzalo Castro,Borussia Dortmund,2016-2017,club
Mario Gotze,Borussia Dortmund,2016-2017,club
Shinji Kagawa,Borussia Dortmund,2016-2017,club
Mikel Merino,Borussia Dortmund,2016-2017,club
Felix Passlack,Borussia Dortmund,2016-2017,club
Raphael Guerreiro,Borussia Dortmund,2016-2017,club
Sebastian Rode,Borussia Dortmund,2016-2017,club
Nuri Sahin,Borussia Dortmund,2016-2017,club
Julian Weigl,Borussia Dortmund,2016-2017,club
Pierre-Emerick Aubameyang,Borussia Dortmund,2016-2017,club
Jacob Bruun Larsen,Borussia Dortmund,2016-2017,club
Alexander Isak,Borussia Dortmund,2016-2017,club
Emre Mor,Borussia Dortmund,2016-2017,club
Christian Pulisic,Borussia Dortmund,2016-2017,club
Marco Reus,Borussia Dortmund,2016-2017,club
Andre Schurrle,Borussia Dortmund,2016-2017,club
Wolfgang de Beer,Borussia Dortmund,2016-2017,club
Andreas Beck,Borussia Dortmund,2016-2017,club
Florian Wangler,Borussia Dortmund,2016-2017,club
Peter Kuhnt,Borussia Dortmund,2016-2017,club
Swantje Thomssen,Borussia Dortmund,2016-2017,club
Thorben Voeste,Borussia Dortmund,2016-2017,club
