player,team,season,type
Michele Fornasier,None,2009-2010,club
Marnick Vermijl,None,2009-2010,club
Charni Ekangamene,None,2009-2010,club
Raheem Hanley,None,2009-2010,club
Jesse Lingard,None,2009-2010,club
Louis Rowley,None,2010-2011,club
Tom Thorpe,None,2010-2011,club
Marnick Vermijl,None,2010-2011,club
Charni Ekangamene,None,2010-2011,club
Jesse Lingard,None,2010-2011,club
Mats Moller Daehli,None,2010-2011,club
John Cofie,None,2010-2011,club
Ben Amos,Manchester United,2011-2012,club
De Gea,Manchester United,2011-2012,club
Sam Johnstone,Manchester United,2011-2012,club
Anders Lindegaard,Manchester United,2011-2012,club
Jonny Evans,Manchester United,2011-2012,club
Patrice Evra,Manchester United,2011-2012,club
Fabio,Manchester United,2011-2012,club
Rio Ferdinand,Manchester United,2011-2012,club
Ezekiel Fryers,Manchester United,2011-2012,club
Phil Jones,Manchester United,2011-2012,club
Michael Keane,Manchester United,2011-2012,club
Rafael,Manchester United,2011-2012,club
Chris Smalling,Manchester United,2011-2012,club
Marnick Vermijl,Manchester United,2011-2012,club
Nemanja Vidic,Manchester United,2011-2012,club
Anderson,Manchester United,2011-2012,club
Michael Carrick,Manchester United,2011-2012,club
Tom Cleverley,Manchester United,2011-2012,club
Darren Fletcher,Manchester United,2011-2012,club
Ryan Giggs,Manchester United,2011-2012,club
Jesse Lingard,Manchester United,2011-2012,club
Ji-Sung Park,Manchester United,2011-2012,club
Paul Scholes,Manchester United,2011-2012,club
Antonio Valencia,Manchester United,2011-2012,club
Ashley Young,Manchester United,2011-2012,club
Dimitar Berbatov,Manchester United,2011-2012,club
Javier Hernandez,Manchester United,2011-2012,club
Will Keane,Manchester United,2011-2012,club
Nani,Manchester United,2011-2012,club
Michael Owen,Manchester United,2011-2012,club
Wayne Rooney,Manchester United,2011-2012,club
Danny Welbeck,Manchester United,2011-2012,club
Alex Ferguson,Manchester United,2011-2012,club
Rene Meulensteen,Manchester United,2011-2012,club
Mike Phelan,Manchester United,2011-2012,club
Eric Steele,Manchester United,2011-2012,club
Laurentiu Branescu,Juventus,2012-2013,club
Gianluigi Buffon,Juventus,2012-2013,club
Federico Gagliardini,Juventus,2012-2013,club
Rubinho,Juventus,2012-2013,club
Marco Storari,Juventus,2012-2013,club
Andrea Barzagli,Juventus,2012-2013,club
Leonardo Bonucci,Juventus,2012-2013,club
Martin Caceres,Juventus,2012-2013,club
Carlos Garcia,Juventus,2012-2013,club
Giorgio Chiellini,Juventus,2012-2013,club
Paolo De Ceglie,Juventus,2012-2013,club
Mauricio Isla,Juventus,2012-2013,club
Stephan Lichtsteiner,Juventus,2012-2013,club
Federico Peluso,Juventus,2012-2013,club
Pol Garcia,Juventus,2012-2013,club
Daniele Rugani,Juventus,2012-2013,club
Kwadwo Asamoah,Juventus,2012-2013,club
Jose Cevallos Jr.,Juventus,2012-2013,club
Elvis Kabashi,Juventus,2012-2013,club
Claudio Marchisio,Juventus,2012-2013,club
Luca Marrone,Juventus,2012-2013,club
Simone Padoin,Juventus,2012-2013,club
Simone Pepe,Juventus,2012-2013,club
Andrea Pirlo,Juventus,2012-2013,club
Andrea Schiavone,Juventus,2012-2013,club
Arturo Vidal,Juventus,2012-2013,club
Nicolas Anelka,Juventus,2012-2013,club
Stefano Beltrame,Juventus,2012-2013,club
Nicklas Bendtner,Juventus,2012-2013,club
Emanuele Giaccherini,Juventus,2012-2013,club
Sebastian Giovinco,Juventus,2012-2013,club
Alessandro Matri,Juventus,2012-2013,club
Fabio Quagliarella,Juventus,2012-2013,club
Mirko Vucinic,Juventus,2012-2013,club
Antonio Conte,Juventus,2012-2013,club
Massimo Carrera,Juventus,2012-2013,club
Claudio Filippi,Juventus,2012-2013,club
Gianluigi Buffon,Juventus,2013-2014,club
Leonardo Citti,Juventus,2013-2014,club
Rubinho,Juventus,2013-2014,club
