player,team,season
Roberto Carlos,União São João - SP,1990-1991
Roberto Carlos,União São João - SP,1991-1992
Washington,União São João - SP,1991-1992
Marcos,Palmeiras,1993-1994
Sergio,Palmeiras,1993-1994
Velloso,Palmeiras,1993-1994
Alexandre Rosa,Palmeiras,1993-1994
Antonio Carlos,Palmeiras,1993-1994
Edinho Baiano,Palmeiras,1993-1994
Gil Baiano,Palmeiras,1993-1994
Jefferson,Palmeiras,1993-1994
Joao Luis,Palmeiras,1993-1994
Ricardo,Palmeiras,1993-1994
Roberto Carlos,Palmeiras,1993-1994
Amaral,Palmeiras,1993-1994
Cesar Sampaio,Palmeiras,1993-1994
Flavio Conceicao,Palmeiras,1993-1994
Jean Carlo,Palmeiras,1993-1994
Mazinho,Palmeiras,1993-1994
Zinho,Palmeiras,1993-1994
Edilson,Palmeiras,1993-1994
Edmundo,Palmeiras,1993-1994
Evair,Palmeiras,1993-1994
Magrao,Palmeiras,1993-1994
Maurilio,Palmeiras,1993-1994
Sorato,Palmeiras,1993-1994
Vanderlei Luxemburgo,Palmeiras,1993-1994
Roberto Fernandez,Palmeiras,1994-1995
Marcos,Palmeiras,1994-1995
Sergio,Palmeiras,1994-1995
Velloso,Palmeiras,1994-1995
Alexandre Rosa,Palmeiras,1994-1995
Antonio Carlos,Palmeiras,1994-1995
Biro-Biro,Palmeiras,1994-1995
Claudio,Palmeiras,1994-1995
Cleber,Palmeiras,1994-1995
Gil Baiano,Palmeiras,1994-1995
Ricardo,Palmeiras,1994-1995
Roberto Carlos,Palmeiras,1994-1995
Tonhao,Palmeiras,1994-1995
Wagner Alves,Palmeiras,1994-1995
Amaral,Palmeiras,1994-1995
Cesar Sampaio,Palmeiras,1994-1995
Flavio Conceicao,Palmeiras,1994-1995
Jean Carlo,Palmeiras,1994-1995
Macula,Palmeiras,1994-1995
Marco Manso,Palmeiras,1994-1995
Mazinho,Palmeiras,1994-1995
Freddy Rincon,Palmeiras,1994-1995
Zinho,Palmeiras,1994-1995
Alex Alves,Palmeiras,1994-1995
Edilson,Palmeiras,1994-1995
Edmundo,Palmeiras,1994-1995
Evair,Palmeiras,1994-1995
Magrao,Palmeiras,1994-1995
Maurilio,Palmeiras,1994-1995
Rivaldo,Palmeiras,1994-1995
Sorato,Palmeiras,1994-1995
Vanderlei Luxemburgo,Palmeiras,1994-1995
Luca Mondini,Inter,1995-1996
Gianluca Pagliuca,Inter,1995-1996
Giuseppe Bergomi,Inter,1995-1996
Giovanni Bia,Inter,1995-1996
Mirko Conte,Inter,1995-1996
Gianluca Festa,Inter,1995-1996
Antonio Paganin,Inter,1995-1996
Massimo Paganin,Inter,1995-1996
Nicola Berti,Inter,1995-1996
Alessandro Bianchi,Inter,1995-1996
Francesco Dell'Anno,Inter,1995-1996
Davide Fontolan,Inter,1995-1996
Wim Jonk,Inter,1995-1996
Marco Nichetti,Inter,1995-1996
Pierluigi Orlandini,Inter,1995-1996
Angelo Orlando,Inter,1995-1996
Andrea Seno,Inter,1995-1996
Andrea Zanchetta,Inter,1995-1996
Dennis Bergkamp,Inter,1995-1996
Marco Delvecchio,Inter,1995-1996
Darko Pancev,Inter,1995-1996
Ruben Sosa,Inter,1995-1996
Marco Veronese,Inter,1995-1996
Ottavio Bianchi,Inter,1995-1996
Buyo,Real Madrid,1996-1997
Canizares,Real Madrid,1996-1997
Contreras,Real Madrid,1996-1997
Alkorta,Real Madrid,1996-1997
Chendo,Real Madrid,1996-1997
Fernando Sanz,Real Madrid,1996-1997
Garcia Calvo,Real Madrid,1996-1997
Hierro,Real Madrid,1996-1997
Lasa,Real Madrid,1996-1997
Miquel Soler,Real Madrid,1996-1997
Quique Flores,Real Madrid,1996-1997
Sanchis,Real Madrid,1996-1997
Alvaro Benito,Real Madrid,1996-1997
Amavisca,Real Madrid,1996-1997
Gomez,Real Madrid,1996-1997
Guti,Real Madrid,1996-1997
Michael Laudrup,Real Madrid,1996-1997
Luis Enrique,Real Madrid,1996-1997
Michel,Real Madrid,1996-1997
Luis Milla,Real Madrid,1996-1997
Fernando Redondo,Real Madrid,1996-1997
Freddy Rincon,Real Madrid,1996-1997
Sandro,Real Madrid,1996-1997
Victor,Real Madrid,1996-1997
Juan Esnaider,Real Madrid,1996-1997
Ivan Perez,Real Madrid,1996-1997
Raul,Real Madrid,1996-1997
Ivan Zamorano,Real Madrid,1996-1997
Arsenio,Real Madrid,1996-1997
Buyo,Real Madrid,1997-1998
Canizares,Real Madrid,1997-1998
Bodo Illgner,Real Madrid,1997-1998
Alkorta,Real Madrid,1997-1998
Chendo,Real Madrid,1997-1998
Fernando Sanz,Real Madrid,1997-1998
Garcia Calvo,Real Madrid,1997-1998
Hierro,Real Madrid,1997-1998
Lasa,Real Madrid,1997-1998
Christian Panucci,Real Madrid,1997-1998
Roberto Carlos,Real Madrid,1997-1998
Sanchis,Real Madrid,1997-1998
Secretario,Real Madrid,1997-1998
Alvaro Benito,Real Madrid,1997-1998
Amavisca,Real Madrid,1997-1998
Guti,Real Madrid,1997-1998
Luis Milla,Real Madrid,1997-1998
