player,team,season
Dida,Cruzeiro,1993-1994
Harlei,Cruzeiro,1993-1994
Arley,Cruzeiro,1993-1994
Belletti,Cruzeiro,1993-1994
Celio Lucio,Cruzeiro,1993-1994
Luizinho,Cruzeiro,1993-1994
Nonato,Cruzeiro,1993-1994
Paulo Roberto,Cruzeiro,1993-1994
Robson,Cruzeiro,1993-1994
Ademir,Cruzeiro,1993-1994
Careca,Cruzeiro,1993-1994
Cleisson,Cruzeiro,1993-1994
Douglas,Cruzeiro,1993-1994
Luis Fernando,Cruzeiro,1993-1994
Macale,Cruzeiro,1993-1994
Ricardinho,Cruzeiro,1993-1994
Rogerio Lage,Cruzeiro,1993-1994
Toninho Cerezo,Cruzeiro,1993-1994
Cate,Cruzeiro,1993-1994
Roberto Gaucho,Cruzeiro,1993-1994
Ronaldo,Cruzeiro,1993-1994
Enio Andrade,Cruzeiro,1993-1994
Vanderlei Luxemburgo,Cruzeiro,1993-1994
Stanley Menzo,PSV Eindhoven,1994-1995
Ronald Waterreus,PSV Eindhoven,1994-1995
Jurgen Dirkx,PSV Eindhoven,1994-1995
Ernest Faber,PSV Eindhoven,1994-1995
Arthur Numan,PSV Eindhoven,1994-1995
Geoffrey Prommayon,PSV Eindhoven,1994-1995
Stan Valckx,PSV Eindhoven,1994-1995
Berry van Aerle,PSV Eindhoven,1994-1995
Wilfred Bouma,PSV Eindhoven,1994-1995
Robert Fuchs,PSV Eindhoven,1994-1995
Rene Klomp,PSV Eindhoven,1994-1995
Edward Linskens,PSV Eindhoven,1994-1995
Patrick Paauwe,PSV Eindhoven,1994-1995
Bjorn van der Doelen,PSV Eindhoven,1994-1995
Tommie van der Leegte,PSV Eindhoven,1994-1995
Tom Van Mol,PSV Eindhoven,1994-1995
Marciano Vink,PSV Eindhoven,1994-1995
Jan Wouters,PSV Eindhoven,1994-1995
Boudewijn Zenden,PSV Eindhoven,1994-1995
Peter Hoekstra,PSV Eindhoven,1994-1995
Erik Meijer,PSV Eindhoven,1994-1995
Luc Nilis,PSV Eindhoven,1994-1995
Boudewijn Pahlplatz,PSV Eindhoven,1994-1995
Gregory Playfair,PSV Eindhoven,1994-1995
Ronaldo,PSV Eindhoven,1994-1995
Dick Advocaat,PSV Eindhoven,1994-1995
Wim Ribbens,PSV Eindhoven,1994-1995
Stanley Menzo,PSV Eindhoven,1995-1996
Ronald Waterreus,PSV Eindhoven,1995-1996
Ernest Faber,PSV Eindhoven,1995-1996
Ferry Maas,PSV Eindhoven,1995-1996
Arthur Numan,PSV Eindhoven,1995-1996
Jaap Stam,PSV Eindhoven,1995-1996
Stan Valckx,PSV Eindhoven,1995-1996
