player,team,season
Christophe Breton,Olympique Lyon,1997-1998
Gregory Coupet,Olympique Lyon,1997-1998
Ghislain Anselmini,Olympique Lyon,1997-1998
Jacek Bak,Olympique Lyon,1997-1998
Olivier Bellisi,Olympique Lyon,1997-1998
Patrice Carteron,Olympique Lyon,1997-1998
Johann Charpenet,Olympique Lyon,1997-1998
Christophe Deguerville,Olympique Lyon,1997-1998
Christophe Delmotte,Olympique Lyon,1997-1998
Jean-Christophe Devaux,Olympique Lyon,1997-1998
Florent Laville,Olympique Lyon,1997-1998
Marcelo Djian,Olympique Lyon,1997-1998
Frederic Patouillard,Olympique Lyon,1997-1998
Cedric Uras,Olympique Lyon,1997-1998
Christian Bassila,Olympique Lyon,1997-1998
Laurent Casanova,Olympique Lyon,1997-1998
Christophe Cocard,Olympique Lyon,1997-1998
Laurent Courtois,Olympique Lyon,1997-1998
Franck Gava,Olympique Lyon,1997-1998
David Linares,Olympique Lyon,1997-1998
Stephane Roche,Olympique Lyon,1997-1998
Cedric Bardon,Olympique Lyon,1997-1998
Alain Caveglia,Olympique Lyon,1997-1998
Fabrice Fiorese,Olympique Lyon,1997-1998
Frederic Fouret,Olympique Lyon,1997-1998
Ludovic Giuly,Olympique Lyon,1997-1998
Joseph-Desire Job,Olympique Lyon,1997-1998
Frederic Kanoute,Olympique Lyon,1997-1998
Florian Maurice,Olympique Lyon,1997-1998
Bernard Lacombe,Olympique Lyon,1997-1998
Robert Duverne,Olympique Lyon,1997-1998
Gregory Coupet,Olympique Lyon,1998-1999
Jean-Claude Nadon,Olympique Lyon,1998-1999
Sebastien Socie,Olympique Lyon,1998-1999
Ghislain Anselmini,Olympique Lyon,1998-1999
Jacek Bak,Olympique Lyon,1998-1999
Olivier Bellisi,Olympique Lyon,1998-1999
Patrice Carteron,Olympique Lyon,1998-1999
Johann Charpenet,Olympique Lyon,1998-1999
Christophe Delmotte,Olympique Lyon,1998-1999
Jean-Christophe Devaux,Olympique Lyon,1998-1999
Hubert Fournier,Olympique Lyon,1998-1999
Florent Laville,Olympique Lyon,1998-1999
Laurent Morestin,Olympique Lyon,1998-1999
Cedric Uras,Olympique Lyon,1998-1999
Christian Bassila,Olympique Lyon,1998-1999
Daniel Bravo,Olympique Lyon,1998-1999
Christophe Cocard,Olympique Lyon,1998-1999
Laurent Courtois,Olympique Lyon,1998-1999
David Linares,Olympique Lyon,1998-1999
Steed Malbranque,Olympique Lyon,1998-1999
Reynald Pedros,Olympique Lyon,1998-1999
Stephane Roche,Olympique Lyon,1998-1999
M'Saddek Senoussi,Olympique Lyon,1998-1999
Philippe Violeau,Olympique Lyon,1998-1999
Cedric Bardon,Olympique Lyon,1998-1999
Alain Caveglia,Olympique Lyon,1998-1999
Frederic Fouret,Olympique Lyon,1998-1999
Joseph-Desire Job,Olympique Lyon,1998-1999
Frederic Kanoute,Olympique Lyon,1998-1999
Bernard Lacombe,Olympique Lyon,1998-1999
Robert Duverne,Olympique Lyon,1998-1999
Gregory Coupet,Olympique Lyon,1999-2000
Sebastien Socie,Olympique Lyon,1999-2000
Jacek Bak,Olympique Lyon,1999-2000
Olivier Bernard,Olympique Lyon,1999-2000
Serge Blanc,Olympique Lyon,1999-2000
Jeremie Brechet,Olympique Lyon,1999-2000
Patrice Carteron,Olympique Lyon,1999-2000
Christophe Delmotte,Olympique Lyon,1999-2000
Jean-Christophe Devaux,Olympique Lyon,1999-2000
Hubert Fournier,Olympique Lyon,1999-2000
Florent Laville,Olympique Lyon,1999-2000
Frederic Ribeiro,Olympique Lyon,1999-2000
Cedric Uras,Olympique Lyon,1999-2000
Christian Bassila,Olympique Lyon,1999-2000
Anthony Braizat,Olympique Lyon,1999-2000
Christophe Cocard,Olympique Lyon,1999-2000
Vikash Dhorasoo,Olympique Lyon,1999-2000
David Hellebuyck,Olympique Lyon,1999-2000
David Linares,Olympique Lyon,1999-2000
