player,team,season,type
Gregory Coupet,Olympique Lyon,1997-1998,club
Jean-Claude Nadon,Olympique Lyon,1997-1998,club
Sebastien Socie,Olympique Lyon,1997-1998,club
Ghislain Anselmini,Olympique Lyon,1997-1998,club
Jacek Bak,Olympique Lyon,1997-1998,club
Olivier Bellisi,Olympique Lyon,1997-1998,club
Patrice Carteron,Olympique Lyon,1997-1998,club
Johann Charpenet,Olympique Lyon,1997-1998,club
Christophe Delmotte,Olympique Lyon,1997-1998,club
Jean-Christophe Devaux,Olympique Lyon,1997-1998,club
Hubert Fournier,Olympique Lyon,1997-1998,club
Florent Laville,Olympique Lyon,1997-1998,club
Laurent Morestin,Olympique Lyon,1997-1998,club
Cedric Uras,Olympique Lyon,1997-1998,club
Christian Bassila,Olympique Lyon,1997-1998,club
Daniel Bravo,Olympique Lyon,1997-1998,club
Christophe Cocard,Olympique Lyon,1997-1998,club
Laurent Courtois,Olympique Lyon,1997-1998,club
David Linares,Olympique Lyon,1997-1998,club
Reynald Pedros,Olympique Lyon,1997-1998,club
Stephane Roche,Olympique Lyon,1997-1998,club
M'Saddek Senoussi,Olympique Lyon,1997-1998,club
Philippe Violeau,Olympique Lyon,1997-1998,club
Cedric Bardon,Olympique Lyon,1997-1998,club
Alain Caveglia,Olympique Lyon,1997-1998,club
Frederic Fouret,Olympique Lyon,1997-1998,club
Joseph-Desire Job,Olympique Lyon,1997-1998,club
Frederic Kanoute,Olympique Lyon,1997-1998,club
Bernard Lacombe,Olympique Lyon,1997-1998,club
Robert Duverne,Olympique Lyon,1997-1998,club
Gregory Coupet,Olympique Lyon,1998-1999,club
Sebastien Socie,Olympique Lyon,1998-1999,club
Jacek Bak,Olympique Lyon,1998-1999,club
Olivier Bernard,Olympique Lyon,1998-1999,club
Serge Blanc,Olympique Lyon,1998-1999,club
Jeremie Brechet,Olympique Lyon,1998-1999,club
Patrice Carteron,Olympique Lyon,1998-1999,club
Christophe Delmotte,Olympique Lyon,1998-1999,club
Jean-Christophe Devaux,Olympique Lyon,1998-1999,club
Hubert Fournier,Olympique Lyon,1998-1999,club
Florent Laville,Olympique Lyon,1998-1999,club
Frederic Ribeiro,Olympique Lyon,1998-1999,club
Cedric Uras,Olympique Lyon,1998-1999,club
Christian Bassila,Olympique Lyon,1998-1999,club
Anthony Braizat,Olympique Lyon,1998-1999,club
Christophe Cocard,Olympique Lyon,1998-1999,club
Vikash Dhorasoo,Olympique Lyon,1998-1999,club
David Hellebuyck,Olympique Lyon,1998-1999,club
David Linares,Olympique Lyon,1998-1999,club
Patrice Ouerdi,Olympique Lyon,1998-1999,club
Philippe Violeau,Olympique Lyon,1998-1999,club
Alain Caveglia,Olympique Lyon,1998-1999,club
Marco Grassi,Olympique Lyon,1998-1999,club
Joseph-Desire Job,Olympique Lyon,1998-1999,club
Frederic Kanoute,Olympique Lyon,1998-1999,club
Bernard Lacombe,Olympique Lyon,1998-1999,club
Robert Duverne,Olympique Lyon,1998-1999,club
Gregory Coupet,Olympique Lyon,1999-2000,club
Angelo Hugues,Olympique Lyon,1999-2000,club
Sebastien Socie,Olympique Lyon,1999-2000,club
Jacek Bak,Olympique Lyon,1999-2000,club
Olivier Bernard,Olympique Lyon,1999-2000,club
Serge Blanc,Olympique Lyon,1999-2000,club
Jeremie Brechet,Olympique Lyon,1999-2000,club
Patrice Carteron,Olympique Lyon,1999-2000,club
Christophe Delmotte,Olympique Lyon,1999-2000,club
Hubert Fournier,Olympique Lyon,1999-2000,club
Florent Laville,Olympique Lyon,1999-2000,club
Frederic Ribeiro,Olympique Lyon,1999-2000,club
Cedric Uras,Olympique Lyon,1999-2000,club
