player,team,season
Andre Amitrano,AS Cannes,1988-1989
Michel Dussuyer,AS Cannes,1988-1989
Jose Bray,AS Cannes,1988-1989
Bertrand Burnier,AS Cannes,1988-1989
Franck Burnier,AS Cannes,1988-1989
Ludovic Debru,AS Cannes,1988-1989
Pierre Dreossi,AS Cannes,1988-1989
Gilles Hampartzoumian,AS Cannes,1988-1989
Ludovic Pollet,AS Cannes,1988-1989
Jan Poortvliet,AS Cannes,1988-1989
Boro Primorac,AS Cannes,1988-1989
Alain Ravera,AS Cannes,1988-1989
Herve Renard,AS Cannes,1988-1989
Jean-Luc Sassus,AS Cannes,1988-1989
Zoran Vujovic,AS Cannes,1988-1989
Antoine Martinez,AS Cannes,1988-1989
Jean-Francois Daniel,AS Cannes,1988-1989
Franck Durix,AS Cannes,1988-1989
Patrice Ferri,AS Cannes,1988-1989
Juan Herrero,AS Cannes,1988-1989
Felix Lacuesta,AS Cannes,1988-1989
Manuel Nogueira,AS Cannes,1988-1989
Zinedine Zidane,AS Cannes,1988-1989
Denis Armbruster,AS Cannes,1988-1989
Dominique Barberat,AS Cannes,1988-1989
Guy Lacombe,AS Cannes,1988-1989
Guy Mengual,AS Cannes,1988-1989
Fabrice Monacchino,AS Cannes,1988-1989
Jean-Francis Samba,AS Cannes,1988-1989
Dusan Savic,AS Cannes,1988-1989
Zlatko Vujovic,AS Cannes,1988-1989
Jean Fernandez,AS Cannes,1988-1989
Albert Emon,AS Cannes,1988-1989
Andre Amitrano,AS Cannes,1989-1990
Michel Dussuyer,AS Cannes,1989-1990
Jose Bray,AS Cannes,1989-1990
Bertrand Burnier,AS Cannes,1989-1990
Franck Burnier,AS Cannes,1989-1990
Pierre Dreossi,AS Cannes,1989-1990
Gilles Hampartzoumian,AS Cannes,1989-1990
Ludovic Pollet,AS Cannes,1989-1990
Boro Primorac,AS Cannes,1989-1990
Alain Ravera,AS Cannes,1989-1990
Herve Renard,AS Cannes,1989-1990
Jocelyn Rico,AS Cannes,1989-1990
